Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-11,Matt_Brash,666374,pitcher,SEA,COL,2026,831861,0,136,115,1,0.0,0.0,1.0,13.5,0.6666666666666666,3.0,16.0,0.0,1.0,0.0,3.2,3.2,63.0,0.0,0.24690268700072623,0.21644042232277524,1.0722222222222222,6.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.397365510306687,0.19306209150326803,-4.143661764705881,0.0,1.0,13.5,0.0,1.0,13.5
2026-03-15,Matt_Brash,666374,pitcher,SEA,CIN,2026,831890,1,136,113,1,0.0,2.0,0.0,0.0,0.6666666666666666,3.0,17.0,0.0,0.0,0.0,-2.8,-2.8,65.0,35.294117647058826,0.34862381989832963,0.2306571277159513,1.0722222222222222,-4.0,86.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,13.5,2.5,0.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.2836318671612785,0.6508071895424834,2.035897058823526,0.0,1.0,13.5,0.0,1.0,13.5
2026-03-20,Matt_Brash,666374,pitcher,SEA,CLE,2026,831743,2,136,114,0,0.0,0.0,0.0,0.0,1.0,5.0,22.0,1.0,1.0,0.0,6.2,6.2,50.0,0.0,0.3234570170660857,0.28701966506844556,1.08,7.0,98.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.8358426794524356,0.02315657679738581,-2.0915908088235273,1.0,0.5,6.75,2.0,0.0,0.0
2026-03-23,Matt_Brash,666374,pitcher,SEA,SD,2026,831735,3,136,135,0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,1.0,0.0,0.0,6.2,6.2,50.0,0.0,0.29430961663417804,0.2904917522564581,1.0722222222222222,0.0,92.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.324954870837224,-0.2336067251461988,-2.102460526315789,0.6666666666666666,0.3333333333333333,4.5,0.0,0.0,0.0
2026-03-27,Matt_Brash,666374,pitcher,SEA,CLE,2026,823162,4,136,114,1,0.0,0.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,3.2,3.2,59.0,0.0,0.41449457439896037,0.21298161894662426,1.08,-7.0,52.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,3.4,2.5,0.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.068147048427006,0.2528255847953218,3.3754302631578965,0.5,0.25,3.375,0.0,0.0,0.0
2026-03-30,Matt_Brash,666374,pitcher,SEA,NYY,2026,823159,5,136,147,1,0.0,1.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,59.0,17.647058823529413,0.29873400673400674,0.2583011583011583,1.08,0.0,48.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,2.7,2.5,0.5,2.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-1.7775907335907337,-0.3040969696969696,-0.9368727272727264,0.4,0.2,2.7,0.0,0.0,0.0
2026-04-03,Matt_Brash,666374,pitcher,SEA,LAA,2026,824056,6,136,108,0,0.0,2.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,83.0,50.0,0.17746127946127946,0.3322892385392385,1.08,12.0,77.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.9016860916860923,-0.5,-1.5,0.6,0.0,0.0,1.0,0.0,0.0
2026-04-05,Matt_Brash,666374,pitcher,SEA,LAA,2026,824053,7,136,108,0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,80.0,30.0,0.14122334455667787,0.3670759317311041,1.08,0.0,83.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.4833925461511672,-0.5,-1.5,0.6,0.0,0.0,2.0,0.0,0.0
2026-04-10,Matt_Brash,666374,pitcher,SEA,HOU,2026,823156,8,136,117,1,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,4.0,0.0,0.0,0.0,3.2,3.2,50.0,0.0,0.2484425925925926,0.16119691119691124,1.08,0.0,64.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.1264247104247103,-0.5,-1.5,0.8,0.0,0.0,1.0,0.0,0.0
2026-04-11,Matt_Brash,666374,pitcher,SEA,HOU,2026,823155,9,136,117,1,0.0,0.0,0.0,0.0,1.0,5.0,12.0,1.0,1.0,0.0,6.2,6.2,50.0,0.0,0.24525555555555556,0.19144144144144146,1.08,0.0,55.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-2.0244684684684686,-0.5,-1.5,0.8,0.0,0.0,0.0,0.0,0.0
