Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,José_Ramírez,hitter,CLE,COL,2026,831867,0,114,115,1,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.07692307692307693,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,-2.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.2511897435897435,-0.41584999999999994,-0.38982692307692307,-0.4744,0.40646153846153854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-03-03,José_Ramírez,hitter,CLE,LAD,2026,831811,1,114,119,1,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,2.5714285714285716,1.08,-5.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.33335689223057635,-0.4136394736842105,-0.45870488721804514,-0.4744,0.3374135338345866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-03-06,José_Ramírez,hitter,CLE,LAA,2026,831826,2,114,108,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.08108108108108109,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,18.0,5.790000000000001,1.08,0.0,69.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.5,-0.4113094594594594,0.1649121621621622,-0.4744,0.0008513513513513926,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0
2026-03-07,José_Ramírez,hitter,CLE,SD,2026,831774,3,114,135,1,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.08571428571428572,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,3.5700000000000003,1.08,-8.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.31613333333333327,-0.2427499999999999,0.012916666666666798,-0.4744,-0.10903333333333326,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-09,José_Ramírez,hitter,CLE,KC,2026,831881,4,114,118,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,0.0,27.0,3.720779220779221,1.0611111111111111,-5.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.5,0.06379385964912287,-0.36773735475051267,-0.48044444444444445,-0.34411893369788105,0.5,0.5,0.25,0.0,0.25,2.0,2.0,0.0,0.0,0.0
2026-03-10,José_Ramírez,hitter,CLE,SF,2026,831758,5,114,137,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,6.75,6.75,5.242749731471536,1.08,9.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.07913251178138403,-0.26680945945945944,-0.3209503512642611,-0.4744,-0.29951116207507184,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-12,José_Ramírez,hitter,CLE,MIL,2026,831791,6,114,158,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0,10.0,0.0,8.25,2.1287593984962405,1.08,2.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.031547325209575594,-0.24238448275862068,-0.4484672024889811,-0.4744,-0.5,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,José_Ramírez,hitter,CLE,SD,2026,831877,7,114,135,0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.08333333333333333,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,3.76993006993007,1.0722222222222222,6.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.012630536130536218,-0.03108333333333335,-0.23008682983682976,-0.4768888888888889,-0.34850349650349643,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,José_Ramírez,hitter,CLE,ATH,2026,831944,8,114,133,1,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,0.046511627906976744,0.635,0.635,0.5,30.0,65.0,0.0,4.5,4.350269645006487,1.08,5.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.4417828788235154,0.8451906976744186,-0.18788186658688494,-0.2744,-0.03428884333107096,0.6,0.6,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0
2026-03-19,José_Ramírez,hitter,CLE,KC,2026,831846,9,114,118,1,1.0,4.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,3.0,0.10256410256410256,0.525,0.525,0.75,30.0,65.0,1.8,5.400000000000001,7.6149653208476735,1.08,0.0,99.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5344345102698043,1.2969,-0.014520964726847052,-0.21189999999999998,0.5938636506577684,0.4,0.6,0.0,0.0,0.6,1.0,2.0,0.0,0.0,2.0
2026-03-20,José_Ramírez,hitter,CLE,SEA,2026,831743,10,114,136,1,1.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,0.06666666666666667,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,6.0,21.0,5.778034465534466,1.08,7.0,98.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.24047862137862136,1.4124500000000002,0.21265172327672333,0.09060000000000001,0.4883017232767234,0.6,1.4,0.2,0.2,0.8,1.0,4.0,1.0,1.0,1.0
