Date,Player,PTS,TRB,AST,STL,TOV,FG%,3P%,FT%,TS%,USG%,BPM,ORTG,DRTG,GmSc,Did_Not_Play,Rest_Days,Game_Index,Player_ID,Team_ID,Opponent,Opponent_ID,MATCHUP,MP,FGA,FTA,PLUS_MINUS,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,oppDfRtg_3,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,TS%_rolling_avg,USG%_rolling_avg,BPM_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,PTS_lag1,TRB_lag1,AST_lag1,STL_lag1,TOV_lag1,FG%_lag1,3P%_lag1,FT%_lag1,TS%_lag1,USG%_lag1,BPM_lag1,ORTG_lag1,DRTG_lag1,GmSc_lag1,Market_PTS,Market_TRB,Market_AST,Market_PTS_books,Market_TRB_books,Market_AST_books,Market_PTS_over_price,Market_TRB_over_price,Market_AST_over_price,Market_PTS_under_price,Market_TRB_under_price,Market_AST_under_price,Market_PTS_line_std,Market_TRB_line_std,Market_AST_line_std,Market_Fetched_At_UTC,Market_Source_PTS,Market_Source_TRB,Market_Source_AST,Synthetic_Market_PTS,Synthetic_Market_TRB,Synthetic_Market_AST,PTS_market_gap,TRB_market_gap,AST_market_gap
2025-10-22,AJ_Johnson,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35294117647059,100.0,110.0,1.0,0,2.0,0,1642358,1610612764,MIL,1610612749,WAS @ MIL,1.7,0.0,0.0,2.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35294117647059,100.0,110.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35294117647059,100.0,110.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-26,AJ_Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,-34.285714285714285,0.0,110.0,-1.1,0,4.0,1,1642358,1610612764,CHA,1610612766,WAS vs. CHA,4.2,1.0,0.0,-4.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35294117647059,100.0,110.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35294117647059,100.0,110.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-30,AJ_Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405404,9.729729729729728,0.0,110.0,-0.7,0,4.0,2,1642358,1610612764,OKC,1610612760,WAS @ OKC,3.7,1.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,1.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,4.033613445378151,50.0,110.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,-34.285714285714285,0.0,110.0,-1.1,0.0,0.5,0.5,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,0.5,0.5,0.0,0.0,0.0
2025-11-01,AJ_Johnson,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.3333333333333333,10.0,-54.0,66.66666666666667,110.0,1.0000000000000002,0,2.0,3,1642358,1610612764,ORL,1610612753,WAS vs. ORL,6.0,3.0,0.0,-9.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.3891033891033886,5.932318873495343,33.333333333333336,110.0,-0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405404,9.729729729729728,0.0,110.0,-0.7,0.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
2025-11-03,AJ_Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651162790697675,33.48837209302326,0.0,110.0,-0.7,0,2.0,4,1642358,1610612764,NYK,1610612752,WAS @ NYK,4.3,1.0,0.0,4.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,0.5,0.5,0.25,0.0,0.0,0.08325,0.0,0.0,0.0833333333333333,5.041827541827542,-9.050760844878493,41.66666666666667,110.0,0.05,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.3333333333333333,10.0,-54.0,66.66666666666667,110.0,1.0000000000000002,0.5,0.5,0.25,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.5,0.5,0.25,0.0,0.0,0.0
2025-11-05,AJ_Johnson,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5681818181818182,2.793650793650793,-11.428571428571429,113.63636363636364,110.0,2.3,0,2.0,5,1642358,1610612764,BOS,1610612738,WAS @ BOS,6.3,0.0,2.0,-2.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,1.1,0.4,0.4,0.2,0.0,0.0,0.0666,0.0,0.0,0.0666666666666666,4.963694591601568,-0.5429342572981426,33.333333333333336,110.0,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651162790697675,33.48837209302326,0.0,110.0,-0.7,0.4,0.4,0.2,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.4,0.4,0.2,0.0,0.0,0.0
2025-11-07,AJ_Johnson,4.0,0.0,2.0,0.0,1.0,0.25,0.0,1.0,0.4098360655737705,13.363636363636362,-20.454545454545453,68.02721088435375,110.0,1.2000000000000002,0,2.0,6,1642358,1610612764,CLE,1610612739,WAS vs. CLE,8.8,4.0,2.0,-5.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,0.6,0.6,0.2,0.0,0.0,0.0666,0.0,0.1,0.1803030303030303,5.522424750331727,-11.299236778306543,36.06060606060606,110.0,0.16,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5681818181818182,2.793650793650793,-11.428571428571429,113.63636363636364,110.0,2.3,0.6,0.6,0.2,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.6,0.6,0.2,0.0,0.0,0.0
2025-11-16,AJ_Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,110.0,-0.3999999999999999,0,9.0,7,1642358,1610612764,BKN,1610612751,WAS vs. BKN,2.7,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,1.4,0.6,0.6,0.0,0.2,0.1166,0.0,0.3,0.2622702434177844,7.242771070678046,-8.53300301207278,49.66604823747681,110.0,0.6200000000000001,4.0,0.0,2.0,0.0,1.0,0.25,0.0,1.0,0.4098360655737705,13.363636363636362,-20.454545454545453,68.02721088435375,110.0,1.2000000000000002,1.4,0.6,0.6,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.4,0.6,0.6,0.0,0.0,0.0
2025-11-28,AJ_Johnson,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.896551724137932,-24.827586206896555,0.0,110.0,-1.4,0,12.0,8,1642358,1610612764,IND,1610612754,WAS @ IND,5.8,1.0,0.0,-4.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,1.4,0.8,0.6,0.0,0.2,0.1166,0.0,0.3,0.2622702434177844,7.643171471078448,-10.478948958018725,49.66604823747681,110.0,0.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,110.0,-0.3999999999999999,1.4,0.8,0.6,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.4,0.8,0.6,0.0,0.0,0.0
2025-12-06,AJ_Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333332,0.0,0.0,110.0,-0.7,0,8.0,9,1642358,1610612764,ATL,1610612737,WAS vs. ATL,1.5,1.0,0.0,0.0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,1.1,1.0,0.8,0.6,0.0,0.4,0.05,0.0,0.3,0.1956035767511177,7.022481815906033,-4.644466199398035,36.33271490414347,110.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.896551724137932,-24.827586206896555,0.0,110.0,-1.4,1.0,0.8,0.6,,,,,,,,,,,,,2026-06-27T00:40:26.509848+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.0,0.8,0.6,0.0,0.0,0.0
