Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Freddie_Freeman,hitter,LAD,LAA,2026,831827,0,119,108,1,1.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,0.075,0.6533333333333333,0.6533333333333333,0.5,30.0,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.056916666666666726,-0.28044444444444444,0.031200000000000117,1.0,0.0,1.0,1.0,0.0,1.0
2026-03-04,Freddie_Freeman,hitter,LAD,MEX,2026,831799,1,119,867,1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.07142857142857142,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.050000000000001,1.0611111111111111,0.0,80.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.01633333333333331,-0.48044444444444445,-0.0774999999999999,1.0,0.0,1.0,1.0,0.0,1.0
2026-03-06,Freddie_Freeman,hitter,LAD,KC,2026,831842,2,119,118,1,2.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.07894736842105263,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,0.0,9.0,3.5113636363636367,1.0611111111111111,0.0,70.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08082615629984047,-0.48044444444444445,-0.006589712918660284,1.0,0.0,0.5,1.0,0.0,0.0
2026-03-07,Freddie_Freeman,hitter,LAD,COL,2026,831863,3,119,115,1,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.075,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,8.229494190020505,1.0611111111111111,-4.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.5,1.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.45142976760082054,-0.48044444444444445,0.18234137616769197,1.3333333333333333,0.0,1.3333333333333333,2.0,0.0,3.0
2026-03-10,Freddie_Freeman,hitter,LAD,AZ,2026,831956,4,119,109,1,2.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.08333333333333333,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.5,4.5,6.218496728835076,1.0611111111111111,-7.0,73.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.4429065358200699,-0.3262777777777778,0.011924836441753905,1.25,0.0,1.0,1.0,0.0,0.0
2026-03-12,Freddie_Freeman,hitter,LAD,CIN,2026,831894,5,119,113,1,1.0,0.0,1.0,3.0,2.0,1.0,1.0,4.0,0.07317073170731707,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,13.5,15.0,6.570197947214076,1.0611111111111111,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.26163110650168075,-0.48044444444444445,0.11955867784850871,1.4,0.0,1.0,2.0,0.0,1.0
2026-03-14,Freddie_Freeman,hitter,LAD,CWS,2026,831809,6,119,145,0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,0.07692307692307693,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,20.25,11.25,3.8105983302411874,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3283324770467628,-0.48044444444444445,-0.03400854502640205,1.4,0.0,1.0,1.0,0.0,1.0
2026-03-15,Freddie_Freeman,hitter,LAD,TEX,2026,831727,7,119,140,1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.345918367346939,1.0611111111111111,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.16080643166357467,-0.48044444444444445,-0.18879499072356198,1.2,0.0,1.0,0.0,0.0,0.0
2026-03-16,Freddie_Freeman,hitter,LAD,MIL,2026,831785,8,119,158,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.06666666666666667,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,3.0,6.0,3.9411654135338345,1.0611111111111111,0.0,90.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.11435338345864665,-0.48044444444444445,-0.08754172932330823,0.8,0.0,0.4,0.0,0.0,0.0
2026-03-18,Freddie_Freeman,hitter,LAD,SF,2026,831761,9,119,137,1,2.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.08823529411764706,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,0.0,27.0,4.787557603686636,1.0611111111111111,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.9307918134995933,-0.15544444444444444,0.12114258606668482,0.8,0.0,0.4,1.0,0.0,0.0
