Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Mookie_Betts,hitter,LAD,LAA,2026,831827,0,119,108,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.05,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2998333333333333,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Mookie_Betts,hitter,LAD,COL,2026,831808,1,119,115,0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,10.5,1.0611111111111111,8.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.014256410256410168,-0.48044444444444445,-0.08853846153846151,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Mookie_Betts,hitter,LAD,KC,2026,831842,2,119,118,1,1.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.07894736842105263,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,0.0,9.0,3.5113636363636367,1.0611111111111111,0.0,70.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.07917384370015945,-0.3262777777777778,-0.39758971291866024,0.5,0.0,0.0,1.0,0.0,0.0
2026-03-07,Mookie_Betts,hitter,LAD,COL,2026,831863,3,119,115,1,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.075,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,8.229494190020505,1.0611111111111111,-4.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.8580964342674868,-0.48044444444444445,0.18234137616769197,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,1.0
2026-03-10,Mookie_Betts,hitter,LAD,AZ,2026,831956,4,119,109,1,2.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.08333333333333333,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.5,4.5,6.218496728835076,1.0611111111111111,-7.0,73.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.10290653582006959,-0.48044444444444445,-0.03607516355824614,0.75,0.0,0.25,1.0,0.0,0.0
2026-03-14,Mookie_Betts,hitter,LAD,CWS,2026,831809,5,119,145,0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.07692307692307693,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,20.25,11.25,3.8105983302411874,1.0611111111111111,0.0,88.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.03966752295323728,-0.48044444444444445,-0.3070085450264021,1.0,0.0,0.2,2.0,0.0,0.0
2026-03-15,Mookie_Betts,hitter,LAD,CHC,2026,831814,6,119,112,0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.06818181818181818,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,6.0,4.299313186813187,1.0277777777777777,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0011335331335330379,-0.16611111111111115,-0.1518525224775224,1.0,0.0,0.2,0.0,0.0,0.0
2026-03-16,Mookie_Betts,hitter,LAD,MIL,2026,831785,7,119,158,1,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.06666666666666667,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,3.0,6.0,3.9411654135338345,1.0611111111111111,0.0,90.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.16164661654135348,-0.24044444444444446,-0.01654172932330822,1.0,0.2,0.4,1.0,1.0,1.0
2026-03-18,Mookie_Betts,hitter,LAD,SF,2026,831761,8,119,137,1,1.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.08823529411764706,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,27.0,4.787557603686636,1.0611111111111111,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.0,-0.34044444444444444,-0.1558574139333152,0.8,0.2,0.2,0.0,0.0,0.0
2026-03-20,Mookie_Betts,hitter,LAD,SD,2026,831766,9,119,135,1,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.07317073170731707,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,9.0,0.0,3.8688311688311687,1.0611111111111111,0.0,104.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.39764755569633636,-0.34044444444444444,0.05649033892936339,0.8,0.2,0.4,1.0,0.0,1.0
