Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Ryne_Stanek,pitcher,STL,NCA,2026,831429,0,138,881,1,1.0,0.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,4.2,4.2,56.00000000000001,33.33333333333333,0.4470588235294118,0.3783783783783784,1.05,-15.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.23297297297297304,0.19776470588235306,4.779882352941177,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-13,Ryne_Stanek,pitcher,STL,HOU,2026,831567,1,138,117,1,3.0,0.0,0.0,1.0,4.0,16.0,1.0,0.0,0.0,0.20000000000000018,0.20000000000000018,63.0,56.25,0.2774106562703054,0.3416666666666666,1.05,-10.0,72.0,0,9.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5266666666666673,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-15,Ryne_Stanek,pitcher,STL,WSH,2026,831461,2,138,120,1,0.0,0.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,3.2,3.2,60.0,0.0,0.2331811683006536,0.3485838779956427,1.05,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.5286710239651415,-0.5,-1.5,2.0,0.0,0.0,3.0,0.0,0.0
2026-03-18,Ryne_Stanek,pitcher,STL,HOU,2026,831556,3,138,117,1,0.0,1.0,9.0,1.0,4.0,12.0,0.0,2.0,0.0,3.2,3.2,67.0,0.0,0.2579484126984127,0.3140692640692641,1.05,0.0,67.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.6474458874458873,-0.5,-1.5,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-23,Ryne_Stanek,pitcher,STL,SPR,2026,831442,4,138,440,0,3.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,-2.8,-2.8,73.0,60.0,0.315,0.225,1.08,-15.0,57.0,0,5.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.612,-0.03489999999999993,1.9859,1.0,0.25,2.25,0.0,1.0,9.0
2026-03-26,Ryne_Stanek,pitcher,STL,TB,2026,823081,5,138,139,1,1.0,0.0,0.0,1.0,6.0,26.0,3.0,0.0,0.0,10.2,10.2,46.0,11.538461538461538,0.2429970760233918,0.23780663780663783,1.08,16.0,91.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.8015468975468976,-0.5,-1.8,1.4,0.2,1.8,3.0,0.0,0.0
2026-03-28,Ryne_Stanek,pitcher,STL,TB,2026,823082,6,138,139,1,2.0,1.0,6.75,1.3333333333333333,6.0,27.0,0.0,3.0,0.0,0.20000000000000018,0.20000000000000018,67.0,22.22222222222222,0.32375775978407556,0.17012987012987013,1.08,5.0,51.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.622961038961039,-0.19149008097165993,0.2824419534412954,1.4,0.2,1.8,1.0,0.0,0.0
2026-03-31,Ryne_Stanek,pitcher,STL,NYM,2026,823077,7,138,121,1,1.0,0.0,0.0,1.0,4.0,22.0,1.0,0.0,0.0,4.2,4.2,55.00000000000001,13.636363636363635,0.2786819735819736,0.23012001548586913,1.08,10.0,80.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,3.2,2.5,0.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.147039876113047,-0.09033111888111872,0.4870199300699314,1.2,0.4,3.15,2.0,1.0,6.75
2026-04-01,Ryne_Stanek,pitcher,STL,NYM,2026,823078,8,138,121,1,1.0,0.0,0.0,0.6666666666666666,4.0,16.0,0.0,1.0,0.0,0.20000000000000018,0.20000000000000018,56.00000000000001,18.75,0.22852929292929294,0.21558441558441557,1.08,0.0,58.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,3.2,2.5,0.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.2593246753246754,-0.4760181818181817,-2.8762454545454528,1.4,0.4,3.15,1.0,0.0,0.0
2026-04-05,Ryne_Stanek,pitcher,STL,DET,2026,824296,9,138,116,0,2.0,0.0,0.0,1.0,4.0,23.0,1.0,0.0,0.0,2.2,2.2,61.0,26.08695652173913,0.26072530864197535,0.18793767507002804,1.0666666666666667,15.0,44.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.3311652661064426,-0.4847361111111109,-1.362624999999998,1.6,0.2,1.35,1.0,0.0,0.0
