Date,Player,PTS,TRB,AST,STL,TOV,FG%,3P%,FT%,TS%,USG%,BPM,ORTG,DRTG,GmSc,Did_Not_Play,Rest_Days,Game_Index,Player_ID,Team_ID,Opponent,Opponent_ID,MATCHUP,MP,FGA,FTA,PLUS_MINUS,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,oppDfRtg_3,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,TS%_rolling_avg,USG%_rolling_avg,BPM_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,PTS_lag1,TRB_lag1,AST_lag1,STL_lag1,TOV_lag1,FG%_lag1,3P%_lag1,FT%_lag1,TS%_lag1,USG%_lag1,BPM_lag1,ORTG_lag1,DRTG_lag1,GmSc_lag1,Market_PTS,Market_TRB,Market_AST,Market_PTS_books,Market_TRB_books,Market_AST_books,Market_PTS_over_price,Market_TRB_over_price,Market_AST_over_price,Market_PTS_under_price,Market_TRB_under_price,Market_AST_under_price,Market_PTS_line_std,Market_TRB_line_std,Market_AST_line_std,Market_Fetched_At_UTC,Market_Source_PTS,Market_Source_TRB,Market_Source_AST,Synthetic_Market_PTS,Synthetic_Market_TRB,Synthetic_Market_AST,PTS_market_gap,TRB_market_gap,AST_market_gap
2025-10-22,Cedric_Coward,14.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0355029585798816,6.09009009009009,38.91891891891892,207.10059171597635,110.0,16.0,0,2.0,0,1642907,1610612763,NOP,1610612740,MEM vs. NOP,22.2,5.0,4.0,24.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.1,14.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0355029585798816,6.09009009009009,38.91891891891892,207.10059171597635,110.0,16.0,14.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0355029585798816,6.09009009009009,38.91891891891892,207.10059171597635,110.0,16.0,14.0,3.0,1.0,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,14.0,3.0,1.0,0.0,0.0,0.0
2025-10-24,Cedric_Coward,16.0,2.0,2.0,2.0,0.0,0.556,0.4,1.0,0.7434944237918216,9.693693693693694,-14.594594594594597,148.69888475836433,110.0,14.9,0,2.0,1,1642907,1610612763,MIA,1610612748,MEM vs. MIA,22.2,9.0,4.0,-9.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,14.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0355029585798816,6.09009009009009,38.91891891891892,207.10059171597635,110.0,16.0,14.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0355029585798816,6.09009009009009,38.91891891891892,207.10059171597635,110.0,16.0,14.0,3.0,1.0,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,14.0,3.0,1.0,0.0,0.0,0.0
2025-10-25,Cedric_Coward,27.0,6.0,4.0,1.0,0.0,0.692,1.0,0.75,0.9146341463414634,12.455696202531644,54.68354430379748,182.9268292682927,110.0,27.1,0,1.0,2,1642907,1610612763,IND,1610612754,MEM vs. IND,23.7,13.0,4.0,36.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.1,15.0,2.5,1.5,2.0,0.0,0.778,0.2,1.0,0.8894986911858516,7.891891891891892,12.16216216216216,177.89973823717034,110.0,15.45,16.0,2.0,2.0,2.0,0.0,0.556,0.4,1.0,0.7434944237918216,9.693693693693694,-14.594594594594597,148.69888475836433,110.0,14.9,15.0,2.5,1.5,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,15.0,2.5,1.5,0.0,0.0,0.0
2025-10-27,Cedric_Coward,9.0,4.0,2.0,0.0,1.0,0.667,0.333,0.0,0.75,5.555555555555555,-1.4285714285714284,128.57142857142858,110.0,7.899999999999999,0,2.0,3,1642907,1610612763,GSW,1610612744,MEM @ GSW,25.2,6.0,0.0,-1.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.1,19.0,3.6666666666666665,2.333333333333333,1.6666666666666667,0.0,0.7493333333333334,0.4666666666666666,0.9166666666666666,0.8978771762377221,9.413159995438477,26.335956209373933,179.57543524754445,110.0,19.33333333333333,27.0,6.0,4.0,1.0,0.0,0.692,1.0,0.75,0.9146341463414634,12.455696202531644,54.68354430379748,182.9268292682927,110.0,27.1,19.0,3.6666666666666665,2.333333333333333,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,19.0,3.6666666666666665,2.333333333333333,0.0,0.0,0.0
2025-10-29,Cedric_Coward,14.0,4.0,1.0,0.0,3.0,0.5,0.667,1.0,0.6433823529411764,9.740350877192984,5.052631578947368,100.86455331412104,110.0,7.799999999999999,0,2.0,4,1642907,1610612763,PHX,1610612756,MEM @ PHX,28.5,10.0,2.0,4.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.1,16.5,3.75,2.25,1.25,0.25,0.72875,0.43325,0.6875,0.8609078821782916,8.448758885467747,19.394824299887592,166.82443357851548,110.0,16.475,9.0,4.0,2.0,0.0,1.0,0.667,0.333,0.0,0.75,5.555555555555555,-1.4285714285714284,128.57142857142858,110.0,7.899999999999999,16.5,3.75,2.25,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,16.5,3.75,2.25,0.0,0.0,0.0
2025-10-31,Cedric_Coward,13.0,10.0,3.0,3.0,2.0,0.364,0.0,0.833,0.4765395894428152,11.938931297709924,-17.862595419847327,83.12020460358056,110.0,13.400000000000002,0,2.0,5,1642907,1610612763,LAL,1610612747,MEM vs. LAL,26.2,11.0,6.0,-13.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,16.0,3.8,2.0,1.0,0.8,0.683,0.4800000000000001,0.75,0.8174027763308687,8.707077283812794,16.526385755699547,153.6324575256366,110.0,14.74,14.0,4.0,1.0,0.0,3.0,0.5,0.667,1.0,0.6433823529411764,9.740350877192984,5.052631578947368,100.86455331412104,110.0,7.799999999999999,16.0,3.8,2.0,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,16.0,3.8,2.0,0.0,0.0,0.0
2025-11-02,Cedric_Coward,12.0,5.0,5.0,0.0,1.0,0.556,0.0,1.0,0.6072874493927125,7.426621160409557,-8.600682593856655,110.2941176470588,110.0,11.7,0,2.0,6,1642907,1610612763,TOR,1610612761,MEM @ TOR,29.3,9.0,2.0,-7.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,15.8,5.2,2.4,1.2,1.2,0.5558,0.4800000000000001,0.7166,0.7056101025034553,9.87684552533676,5.1700828879462986,128.83638010315744,110.0,14.22,13.0,10.0,3.0,3.0,2.0,0.364,0.0,0.833,0.4765395894428152,11.938931297709924,-17.862595419847327,83.12020460358056,110.0,13.400000000000002,15.8,5.2,2.4,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,15.8,5.2,2.4,0.0,0.0,0.0
2025-11-03,Cedric_Coward,17.0,6.0,2.0,0.0,3.0,0.556,0.5,1.0,0.7899628252788105,8.993464052287582,-2.3529411764705883,123.54651162790698,110.0,11.299999999999995,0,1.0,7,1642907,1610612763,DET,1610612765,MEM vs. DET,30.6,9.0,4.0,-2.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,15.0,5.8,3.0,0.8,1.4,0.5558,0.4,0.7166,0.6783687076236335,9.423431018679931,6.368865288093886,121.15542668089634,110.0,13.580000000000002,12.0,5.0,5.0,0.0,1.0,0.556,0.0,1.0,0.6072874493927125,7.426621160409557,-8.600682593856655,110.2941176470588,110.0,11.7,15.0,5.8,3.0,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,15.0,5.8,3.0,0.0,0.0,0.0
2025-11-05,Cedric_Coward,7.0,9.0,4.0,2.0,1.0,0.2,0.0,0.75,0.2976190476190476,8.89198606271777,-5.017421602787456,54.858934169279,110.0,7.300000000000001,0,2.0,8,1642907,1610612763,HOU,1610612745,MEM vs. HOU,28.7,10.0,4.0,-4.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,1.1,13.0,5.8,2.6,0.6,2.0,0.5286,0.3,0.7666000000000001,0.6534344434111029,8.73098458863112,-5.038431807959727,109.2793631528192,110.0,10.419999999999998,17.0,6.0,2.0,0.0,3.0,0.556,0.5,1.0,0.7899628252788105,8.993464052287582,-2.3529411764705883,123.54651162790698,110.0,11.299999999999995,13.0,5.8,2.6,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,13.0,5.8,2.6,0.0,0.0,0.0
2025-11-07,Cedric_Coward,21.0,9.0,4.0,0.0,0.0,0.7,0.6,1.0,0.8928571428571429,8.43010752688172,-3.870967741935484,178.57142857142858,110.0,22.3,0,2.0,9,1642907,1610612763,DAL,1610612742,MEM vs. DAL,27.9,10.0,4.0,-3.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1.1,12.6,6.8,3.0,1.0,2.0,0.4352,0.2334,0.9166,0.5629582529349124,9.398270690063562,-5.756201842802933,94.53686427238928,110.0,10.3,7.0,9.0,4.0,2.0,1.0,0.2,0.0,0.75,0.2976190476190476,8.89198606271777,-5.017421602787456,54.858934169279,110.0,7.300000000000001,12.6,6.8,3.0,,,,,,,,,,,,,2026-06-22T02:22:19.827659+00:00,baseline_fallback,baseline_fallback,baseline_fallback,12.6,6.8,3.0,0.0,0.0,0.0
