Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Jeffrey_Springs,pitcher,ATH,AZ,2026,831963,0,133,109,1,4.0,0.0,0.0,2.3333333333333335,11.0,56.0,1.0,3.0,0.0,1.0571428571428574,1.0571428571428574,59.0,21.428571428571427,0.4035443899782135,0.14293817356778218,1.0611111111111111,3.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,3.5,0.5,1.5,3.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.5409390559021872,0.009949754901960928,0.4669490546218493,4.0,0.0,0.0,4.0,0.0,0.0
2026-03-10,Jeffrey_Springs,pitcher,ATH,CWS,2026,831918,1,133,145,1,3.0,6.0,20.25,2.6666666666666665,15.0,69.0,3.0,4.0,1.0,9.2,9.2,55.00000000000001,13.043478260869565,0.36378549860490006,0.15544984731031242,1.0611111111111111,11.0,71.0,0,6.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,3.5,0.5,1.5,3.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.4408456659619451,-0.16896525627794973,-0.38275773993808015,4.0,0.0,0.0,4.0,0.0,0.0
2026-03-16,Jeffrey_Springs,pitcher,ATH,LAA,2026,831834,2,133,108,1,4.0,0.0,0.0,4.666666666666667,20.0,84.0,3.0,3.0,0.0,3.4142857142857146,3.4142857142857146,56.99999999999999,14.285714285714285,0.3118798792665214,0.2251719568792739,1.0611111111111111,-3.0,88.0,0,6.0,1.0,6.123233995736766e-17,0.0,1.0,3.5,2.5,10.1,3.5,2.5,10.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.3830687894102529,0.7174594566993466,-3.894899619222689,3.5,3.0,10.125,3.0,6.0,20.25
2026-03-22,Jeffrey_Springs,pitcher,ATH,COL,2026,831945,3,133,115,0,4.0,0.0,0.0,3.0,9.0,31.0,0.0,0.0,0.0,0.5333333333333337,0.5333333333333337,77.0,38.70967741935484,0.35539814814814813,0.19985569985569984,1.0611111111111111,0.0,98.0,0,6.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3.5,1.5,6.8,3.5,1.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.3255988455988459,0.23329166666666667,-1.6001250000000002,3.6666666666666665,2.0,6.75,4.0,0.0,0.0
2026-03-28,Jeffrey_Springs,pitcher,ATH,TOR,2026,822838,4,133,141,0,2.0,2.0,3.375,5.333333333333333,22.0,83.0,3.0,5.0,0.0,4.1375,4.1375,61.0,7.228915662650602,0.3645011371020143,0.1277777777777778,1.08,0.0,68.0,0,6.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3.5,1.5,5.1,3.5,1.5,5.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.8497777777777777,-0.07214488304093547,-2.690494490131578,3.75,1.5,5.0625,4.0,0.0,0.0
2026-04-03,Jeffrey_Springs,pitcher,ATH,HOU,2026,825026,5,133,117,1,7.0,1.0,1.5,6.0,21.0,103.0,1.0,2.0,0.0,1.366666666666667,1.366666666666667,64.0,20.388349514563107,0.3864972222222222,0.18596491228070175,1.08,3.0,73.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,3.5,1.5,4.7,3.5,1.5,4.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.9162807017543866,0.4188375000000002,-1.82174375,3.4,1.6,4.725,2.0,2.0,3.375
2026-04-09,Jeffrey_Springs,pitcher,ATH,NYY,2026,823565,6,133,147,0,6.0,0.0,0.0,7.0,25.0,93.0,2.0,1.0,0.0,2.342857142857143,2.342857142857143,65.0,19.35483870967742,0.2838094276094276,0.2701337701337701,1.08,10.0,50.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,3.5,1.5,5.0,3.5,1.5,5.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.8890701610701601,-0.05925757575757551,-3.147616883116883,4.0,1.8,5.025,7.0,1.0,1.5
2026-04-14,Jeffrey_Springs,pitcher,ATH,TEX,2026,825022,7,133,140,1,5.0,1.0,1.4210526315789473,6.333333333333333,23.0,90.0,2.0,3.0,0.0,2.568421052631579,2.568421052631579,57.99999999999999,16.666666666666664,0.30484814814814815,0.2896825396825397,1.08,8.0,66.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,4.5,0.5,1.5,4.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.3374603174603177,0.011416666666666742,-0.7732499999999999,4.6,0.6,0.975,6.0,0.0,0.0
2026-04-19,Jeffrey_Springs,pitcher,ATH,CWS,2026,825018,8,133,145,1,7.0,7.0,12.6,5.0,25.0,85.0,1.0,9.0,4.0,11.399999999999999,11.399999999999999,68.0,24.705882352941178,0.3873505136838471,0.18852484197752747,1.08,7.0,74.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,4.5,0.5,1.5,4.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.46780126417978085,0.6866773115773122,0.6360191608391621,4.8,0.8,1.2592105263157893,5.0,1.0,1.4210526315789473
2026-04-25,Jeffrey_Springs,pitcher,ATH,TEX,2026,822910,9,133,140,0,4.0,4.0,6.0,6.0,26.0,91.0,2.0,5.0,1.0,5.033333333333333,5.033333333333333,64.0,13.186813186813188,0.3050924242424242,0.22610939112487105,1.08,0.0,74.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,5.5,2.5,3.8,5.5,2.5,3.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.45512487100103094,0.28451590909090907,0.3767738636363642,5.4,2.2,3.779210526315789,7.0,7.0,12.6
