Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Yainer_Diaz,hitter,HOU,NYM,2026,831579,0,117,121,0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.29954736842105256,-0.4744,-0.4311578947368421,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Yainer_Diaz,hitter,HOU,VEN,2026,831440,1,117,944,1,2.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.08823529411764706,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,4.0,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2905607843137254,-0.4744,-0.31123529411764705,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Yainer_Diaz,hitter,HOU,MIA,2026,831582,2,117,146,0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.06666666666666667,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.7785714285714285,1.05,0.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.05314285714285738,-0.484,-0.5,1.0,0.0,0.0,2.0,0.0,0.0
2026-03-08,Yainer_Diaz,hitter,HOU,WSH,2026,831572,3,117,120,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,13.5,27.0,3.2700000000000005,1.08,-15.0,82.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.4744,-0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2026-03-10,Yainer_Diaz,hitter,HOU,BAL,2026,831617,4,117,110,1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.06818181818181818,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.088520408163265,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.10083475572047007,-0.4744,-0.4583921614100186,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-12,Yainer_Diaz,hitter,HOU,WSH,2026,831510,5,117,120,1,1.0,0.0,1.0,3.0,3.0,0.0,1.0,4.0,0.08571428571428572,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,6.75,18.0,3.2571428571428567,1.08,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.3202333333333333,-0.4023428571428571,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-15,Yainer_Diaz,hitter,HOU,MIA,2026,831509,6,117,146,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.07142857142857142,0.0,0.0,0.0,0.0,10.0,0.0,12.0,3.068181818181818,1.08,12.0,79.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.019460606060606067,-0.4744,-0.2595909090909091,0.6,0.0,0.2,1.0,0.0,1.0
2026-03-18,Yainer_Diaz,hitter,HOU,STL,2026,831556,7,117,138,0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,0.06451612903225806,0.0,0.0,0.0,0.0,10.0,7.5,8.625,2.230926216640502,1.05,0.0,67.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3378409083236272,-0.484,-0.4695827214260394,0.2,0.0,0.2,0.0,0.0,0.0
2026-03-19,Yainer_Diaz,hitter,HOU,NYM,2026,831500,8,117,121,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,0.0,9.0,5.738961038961039,1.08,0.0,72.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.19600647072226013,-0.4744,-0.30815721120984274,0.2,0.0,0.2,0.0,0.0,0.0
2026-03-21,Yainer_Diaz,hitter,HOU,NYM,2026,831549,9,117,121,0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,6.0,0.1,0.7125,0.7125,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,6.547124304267162,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.035381694495980054,-0.3202333333333333,0.001706215213358231,0.2,0.0,0.2,0.0,0.0,0.0
2026-03-23,Yainer_Diaz,hitter,HOU,SUG,2026,831443,10,117,5434,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,0.05,0.0,0.0,0.0,0.0,10.0,13.5,15.75,4.0,1.08,11.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.017599999999999894,-0.4744,-0.3982,0.6,0.0,0.2,2.0,0.0,0.0
