Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-23,Brad_Keller,pitcher,PHI,TB,2026,831547,0,143,139,1,0.0,2.0,18.0,1.0,6.0,22.0,2.0,1.0,0.0,9.2,9.2,50.0,0.0,0.16899782135076255,0.2314760508308896,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-2.2801915933528836,-0.2719098039215684,-6.947188235294115,0.0,2.0,18.0,0.0,2.0,18.0
2026-03-29,Brad_Keller,pitcher,PHI,TEX,2026,823487,1,143,140,1,1.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,69.0,18.75,0.28093480118914904,0.27709852709852717,1.08,13.0,54.0,0,6.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.9152117832117828,0.23180660535117092,-2.413740551839462,0.0,2.0,18.0,0.0,2.0,18.0
2026-03-31,Brad_Keller,pitcher,PHI,WSH,2026,823485,2,143,120,1,0.0,0.0,0.0,1.0,4.0,15.0,1.0,0.0,0.0,6.2,6.2,60.0,0.0,0.35151296296296297,0.1775,1.08,16.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-2.212,0.5094083333333335,0.08467500000000072,0.5,1.0,9.0,1.0,0.0,0.0
2026-04-01,Brad_Keller,pitcher,PHI,WSH,2026,823483,3,143,120,1,1.0,3.0,27.0,1.0,6.0,22.0,0.0,3.0,1.0,14.2,14.2,77.0,13.636363636363635,0.3425546296296296,0.2231081081081081,1.08,0.0,79.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,6.0,2.5,0.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-2.1071351351351355,0.2290958333333335,0.5618625000000019,0.3333333333333333,0.6666666666666666,6.0,0.0,0.0,0.0
2026-04-04,Brad_Keller,pitcher,PHI,COL,2026,824378,4,143,115,0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,3.2,3.2,85.0,0.0,0.20744891219891218,0.349331550802139,1.0477777777777777,0.0,60.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,1.5,11.2,2.5,1.5,11.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.8244587046939991,-0.5020798951048953,-2.2187190559440566,0.5,1.25,11.25,1.0,3.0,27.0
2026-04-06,Brad_Keller,pitcher,PHI,SF,2026,823237,5,143,137,0,2.0,0.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,65.0,30.0,0.1877216610549944,0.2090818903318903,1.08,14.0,55.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-2.1713448773448776,-0.22765252525252505,-6.548872727272725,0.4,1.0,9.0,0.0,0.0,0.0
2026-04-10,Brad_Keller,pitcher,PHI,AZ,2026,823482,6,143,109,1,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,3.2,3.2,71.0,0.0,0.3052703703703703,0.21974559458513246,1.08,12.0,68.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.5180352433189404,0.013316666666666532,-0.7801500000000017,0.8,0.6,5.4,2.0,0.0,0.0
2026-04-11,Brad_Keller,pitcher,PHI,AZ,2026,823480,7,143,109,1,2.0,1.0,9.0,1.0,6.0,28.0,1.0,2.0,0.0,2.2,2.2,61.0,21.428571428571427,0.3187759259259259,0.23407810891764677,1.08,-14.0,62.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.827375128658826,0.07409166666666667,-0.23317500000000013,0.6,0.6,5.4,0.0,0.0,0.0
2026-04-14,Brad_Keller,pitcher,PHI,CHC,2026,823478,8,143,112,1,2.0,0.0,0.0,0.6666666666666666,3.0,15.0,0.0,1.0,0.0,-2.8,-2.8,67.0,40.0,0.3690388176638177,0.23979797979797976,1.08,15.0,85.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,7.2,2.5,0.5,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.213616161616162,0.6042746794871798,7.707708173076928,1.0,0.8,7.2,2.0,1.0,9.0
2026-04-18,Brad_Keller,pitcher,PHI,ATL,2026,823474,9,143,144,1,1.0,0.0,0.0,1.0,3.0,21.0,1.0,0.0,0.0,4.2,4.2,52.0,14.285714285714285,0.3787907407407407,0.17024117140396214,1.08,13.0,67.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-1.6260706287683029,0.05615833333333331,3.205425,1.2,0.2,1.8,2.0,0.0,0.0
