Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-02,Andre_Pallante,669467,pitcher,STL,MIA,2026,831476,0,138,146,1,1.0,2.0,1.0,3.0,3.0,12.0,38.0,0.0,3.0,0.0,1.866666666666667,1.866666666666667,66.0,15.789473684210526,0.38458333333333333,0.30434782608695654,1.05,-15.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,3.0,2.5,0.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.03478260869565242,0.7966250000000001,0.8898750000000004,2.0,1.0,3.0,2.0,1.0,3.0
2026-03-31,Andre_Pallante,669467,pitcher,STL,NYM,2026,823077,1,138,121,1,1.0,3.0,0.0,0.0,5.0,21.0,88.0,3.0,3.0,0.0,3.8,3.8,59.0,10.227272727272728,0.2786819735819736,0.23012001548586913,1.08,10.0,80.0,0,29.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,3.0,2.5,0.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5710398761130471,0.3416688811188814,-1.4849960139860134,2.0,1.0,3.0,2.0,1.0,3.0
2026-04-06,Andre_Pallante,669467,pitcher,STL,WSH,2026,822755,2,138,120,0,1.0,2.0,2.0,3.6,5.0,22.0,88.0,4.0,3.0,0.0,4.800000000000001,4.800000000000001,61.0,6.8181818181818175,0.3324159544159544,0.2071577071577072,1.08,-7.0,61.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2547383427383427,0.06347179487179488,-0.4857507692307692,2.5,0.5,1.5,3.0,0.0,0.0
2026-04-12,Andre_Pallante,669467,pitcher,STL,BOS,2026,823075,3,138,111,1,1.0,2.0,6.0,10.8,5.0,27.0,95.0,1.0,9.0,1.0,5.6,5.6,64.0,6.315789473684211,0.2769012345679012,0.16752854988149105,1.08,18.0,78.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.8317716009480718,0.49365555555555574,-0.4114199999999999,2.3333333333333335,1.0,2.1999999999999997,2.0,2.0,3.6
2026-04-18,Andre_Pallante,669467,pitcher,STL,HOU,2026,824206,4,138,117,0,1.0,5.0,1.0,1.8,5.0,21.0,87.0,3.0,3.0,1.0,5.6,5.6,55.00000000000001,17.24137931034483,0.2678351851851852,0.24560080442433385,1.08,0.0,73.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,2.5,4.4,2.5,2.5,4.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2671935646053294,-0.007141666666666602,0.08714499999999958,2.25,2.25,4.35,2.0,6.0,10.8
2026-04-24,Andre_Pallante,669467,pitcher,STL,SEA,2026,823069,5,138,136,1,1.0,8.0,3.0,5.0625,5.333333333333333,23.0,90.0,3.0,4.0,1.0,4.325,4.325,60.0,26.666666666666668,0.3055141414141414,0.19065908013276434,1.08,-2.0,68.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,1.5,3.8,2.5,1.5,3.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.10927264106211476,0.1824136363636364,-0.9609269886363632,2.8,2.0,3.84,5.0,1.0,1.8
2026-04-29,Andre_Pallante,669467,pitcher,STL,PIT,2026,823392,6,138,134,0,1.0,6.0,1.0,1.5,6.0,24.0,91.0,0.0,5.0,1.0,3.3666666666666667,3.3666666666666667,64.0,19.78021978021978,0.2462676767676768,0.34954473189767304,1.08,7.0,57.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,3.5,2.5,4.3,3.5,2.5,4.3,real,real,synthetic,9.0,5.0,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.49999999999999994,0.0,0.0,2026-04-30T03:22:26.750124+00:00,1.6643578551813842,-0.4761954545454543,-1.2642931818181813,4.0,2.4,4.2524999999999995,8.0,3.0,5.0625
2026-05-06,Andre_Pallante,669467,pitcher,STL,MIL,2026,823063,7,138,158,1,1.0,3.0,5.0,7.5,6.0,27.0,104.0,2.0,8.0,1.0,5.366666666666667,5.366666666666667,71.0,8.653846153846153,0.2401676767676768,0.16494210396649414,1.08,-7.0,58.0,0,7.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,4.5,2.5,4.6,4.5,2.5,4.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6604631682680466,-0.6796454545454542,-1.8694681818181809,4.6,2.6,4.5525,6.0,1.0,1.5
2026-05-12,Andre_Pallante,669467,pitcher,STL,ATH,2026,825011,8,138,133,0,1.0,4.0,3.0,5.4,5.0,21.0,85.0,3.0,4.0,0.0,3.4000000000000004,3.4000000000000004,60.0,14.117647058823527,0.2670989898989899,0.27986633249791143,1.08,13.0,78.0,0,6.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,4.5,3.5,5.3,4.5,3.5,5.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.017069340016709234,-0.4864545454545457,0.12438181818181793,4.8,3.2,5.3325,3.0,5.0,7.5
2026-05-17,Andre_Pallante,669467,pitcher,STL,KC,2026,823058,9,138,118,1,1.0,7.0,1.0,1.35,6.666666666666667,27.0,99.0,0.0,8.0,1.0,3.0500000000000003,3.0500000000000003,72.0,21.21212121212121,0.25975656565656563,0.11428820124472298,1.08,17.0,82.0,0,5.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,5.5,2.5,4.3,5.5,2.5,4.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.9136943900422159,-0.2714954545454549,-1.2915188636363641,5.2,2.6,4.2524999999999995,4.0,3.0,5.4
