Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-03,David_Hamilton,hitter,MIL,GBR,2026,831855,0,158,821,1,1.0,1.0,1.0,3.0,3.0,0.0,0.0,6.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,4.0,1.0722222222222222,-3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.046499999999999986,0.6481111111111109,0.05500000000000016,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-04,David_Hamilton,hitter,MIL,CHC,2026,831929,1,158,112,1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.08108108108108109,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,9.270897832817338,1.0722222222222222,-4.0,80.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.2446917691685495,0.323111111111111,0.1948962429922183,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06,David_Hamilton,hitter,MIL,AZ,2026,831954,2,158,109,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.07692307692307693,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,0.0,5.717775974025974,1.0722222222222222,-7.0,70.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.45978796203796213,-0.12688888888888894,0.08135033716283724,1.0,0.5,0.5,1.0,0.0,0.0
2026-03-08,David_Hamilton,hitter,MIL,SEA,2026,831740,3,158,136,1,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,0.10810810810810811,0.1725,0.1725,0.0,0.0,20.7,4.5,18.0,11.278432494279178,1.0722222222222222,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.09727711464324695,-0.24355555555555558,0.1764734265157608,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0
2026-03-09,David_Hamilton,hitter,MIL,LAD,2026,831802,4,158,119,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.07894736842105263,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,13.5,6.4234156820622985,1.0722222222222222,-6.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.46134407447189396,-0.3018888888888889,-0.05098711063372713,0.75,0.25,0.25,0.0,0.0,0.0
2026-03-11,David_Hamilton,hitter,MIL,CIN,2026,831793,5,158,113,0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,13.5,13.5,7.063820396193669,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.25799455257330584,-0.33440000000000003,-0.12196687492715863,0.8,0.2,0.2,1.0,0.0,0.0
2026-03-13,David_Hamilton,hitter,MIL,ATH,2026,831935,6,158,133,1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.075,0.0,0.0,0.0,0.0,10.0,0.0,9.0,4.805108354683907,1.0722222222222222,0.0,89.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.07687899914597718,-0.4768888888888889,-0.46454458226580464,0.8,0.0,0.0,1.0,0.0,0.0
2026-03-14,David_Hamilton,hitter,MIL,COL,2026,831860,7,158,115,1,1.0,1.0,4.0,3.0,3.0,0.0,0.0,7.0,0.08108108108108109,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,0.0,6.73109243697479,1.0722222222222222,-7.0,88.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.678432886668181,-0.1518888888888889,-0.15109402679990913,0.6,0.0,0.0,0.0,0.0,0.0
2026-03-15,David_Hamilton,hitter,MIL,SF,2026,831787,8,158,137,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.10344827586206896,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.216129032258065,1.038888888888889,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.3460474601408974,-0.24755555555555553,0.2734616240266965,0.6,0.2,0.8,1.0,1.0,4.0
2026-03-18,David_Hamilton,hitter,MIL,LAA,2026,831818,9,158,108,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.07142857142857142,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,3.0,11.0,2.8013147566719,1.0722222222222222,5.0,98.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.0037192569335426917,-0.3368888888888889,-0.3669342621664049,0.6,0.2,0.8,0.0,0.0,0.0
