Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Drew_Pomeranz,pitcher,LAA,ITA,2026,831844,0,108,841,1,2.0,1.0,9.0,1.0,5.0,17.0,0.0,2.0,0.0,-0.7999999999999998,-0.7999999999999998,76.0,35.294117647058826,0.3630701754385965,0.21428571428571427,1.038888888888889,-3.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.6812698412698415,0.6918157894736843,1.726342105263159,2.0,1.0,9.0,2.0,1.0,9.0
2026-03-07,Drew_Pomeranz,pitcher,LAA,ATH,2026,831828,1,108,133,0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,3.2,3.2,75.0,0.0,0.3460298895386615,0.1582177586481747,1.0666666666666667,0.0,63.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.1409245974812692,0.6351345029239768,1.2162105263157912,2.0,1.0,9.0,2.0,1.0,9.0
2026-03-15,Drew_Pomeranz,pitcher,LAA,COL,2026,831858,2,108,115,1,0.0,3.0,81.0,0.3333333333333333,6.0,29.0,3.0,2.0,1.0,69.2,69.2,41.0,0.0,0.3175206935844513,0.20846203346203343,1.038888888888889,0.0,86.0,0,8.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.7278592878592882,-0.0331568788699691,8.104764270510836,1.0,0.5,4.5,0.0,0.0,0.0
2026-03-19,Drew_Pomeranz,pitcher,LAA,KC,2026,831822,3,108,118,0,2.0,0.0,0.0,0.3333333333333333,2.0,10.0,0.0,0.0,0.0,-8.8,-8.8,60.0,60.0,0.34909949164851123,0.3349206349206349,1.0611111111111111,3.0,101.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,30.0,2.5,1.5,30.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.9650793650793654,0.20494771241830056,16.03358823529412,0.6666666666666666,1.3333333333333333,30.0,0.0,3.0,81.0
2026-03-22,Drew_Pomeranz,pitcher,LAA,LAD,2026,831804,4,108,119,1,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,3.2,3.2,60.0,0.0,0.3874183006535948,0.23444329518534582,1.08,8.0,74.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,22.5,2.5,0.5,22.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.2564536385172336,0.6709823529411767,-11.96115882352941,1.0,1.0,22.5,2.0,0.0,0.0
2026-03-26,Drew_Pomeranz,pitcher,LAA,HOU,2026,824218,5,108,117,0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,3.2,3.2,67.0,0.0,0.3152469135802469,0.23131313131313133,1.08,0.0,73.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,18.0,2.5,0.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.7054949494949496,0.20221111111111123,-11.6801,0.8,0.8,18.0,0.0,0.0,0.0
2026-03-29,Drew_Pomeranz,pitcher,LAA,HOU,2026,824215,6,108,117,0,0.0,3.0,27.0,1.0,8.0,17.0,2.0,2.0,0.0,9.2,9.2,59.0,0.0,0.26620252525252525,0.2619617224880383,1.08,0.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,16.2,2.5,0.5,16.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.7483062200956938,-0.1624886363636363,-13.162397727272726,0.4,0.6,16.2,0.0,0.0,0.0
2026-03-31,Drew_Pomeranz,pitcher,LAA,CHC,2026,824699,7,108,112,0,2.0,0.0,0.0,1.3333333333333333,5.0,20.0,0.0,1.0,0.0,0.20000000000000018,0.20000000000000018,70.0,30.0,0.33662037037037035,0.1976848275270083,1.0522222222222224,-14.0,44.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,1.5,21.6,2.5,1.5,21.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.2514102686728226,0.04639166666666661,-11.161856250000001,0.4,1.2,21.6,0.0,3.0,27.0
2026-04-03,Drew_Pomeranz,pitcher,LAA,SEA,2026,824056,8,108,136,1,0.0,0.0,0.0,1.0,5.0,17.0,1.0,1.0,0.0,6.2,6.2,59.0,0.0,0.20486588103254766,0.2646459899749373,1.08,12.0,77.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.1588320802005017,-0.4385035353535355,-4.84653181818182,0.8,0.6,5.4,2.0,0.0,0.0
2026-04-04,Drew_Pomeranz,pitcher,LAA,SEA,2026,824054,9,108,136,1,0.0,0.0,0.0,0.3333333333333333,1.0,4.0,0.0,0.0,0.0,3.2,3.2,75.0,0.0,0.19699214365881032,0.22371031746031744,1.08,8.0,82.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.0543174603174608,-0.4739353535353535,-4.696254545454544,0.4,0.6,5.4,0.0,0.0,0.0
2026-04-12,Drew_Pomeranz,pitcher,LAA,CIN,2026,824533,10,108,113,0,1.0,1.0,9.0,1.0,3.0,9.0,0.0,1.0,1.0,14.2,14.2,78.0,33.33333333333333,0.28633030303030305,0.16274060176499205,1.08,-13.0,79.0,0,8.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.5,-0.07191363636363618,-1.5472227272727261,0.4,0.6,5.4,0.0,0.0,0.0
2026-04-13,Drew_Pomeranz,pitcher,LAA,NYY,2026,823563,11,108,147,0,2.0,0.0,0.0,1.0,4.0,12.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,75.0,50.0,0.31182575757575764,0.2571428571428571,1.08,15.0,77.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,7.2,2.5,0.5,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.5028571428571431,0.34681590909090954,0.42134318181818564,0.6,0.8,7.2,1.0,1.0,9.0
2026-04-15,Drew_Pomeranz,pitcher,LAA,NYY,2026,823561,12,108,147,0,0.0,0.0,0.0,1.3333333333333333,4.0,11.0,0.0,0.0,0.0,3.2,3.2,64.0,0.0,0.3324722222222222,0.25191511387163557,1.08,0.0,83.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.1166790890269156,-0.15227499999999988,0.5471437500000007,1.0,0.2,1.8,2.0,0.0,0.0
2026-04-21,Drew_Pomeranz,pitcher,LAA,TOR,2026,824045,13,108,141,1,1.0,3.0,27.0,1.0,7.0,18.0,1.0,3.0,0.0,4.2,4.2,72.0,16.666666666666664,0.31599166666666667,0.16829865361077112,1.08,9.0,67.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.353610771113831,-0.2264374999999999,0.6620625000000009,0.6,0.2,1.8,0.0,0.0,0.0
2026-04-24,Drew_Pomeranz,pitcher,LAA,KC,2026,824124,14,108,118,0,1.0,1.0,9.0,1.0,6.0,30.0,1.0,2.0,0.0,4.2,4.2,56.99999999999999,10.0,0.3739981481481481,0.18393562253211374,1.06,0.0,69.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,7.2,2.5,0.5,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.9365150197430903,0.9321916666666665,5.689724999999998,0.8,0.8,7.2,1.0,3.0,27.0
2026-04-26,Drew_Pomeranz,pitcher,LAA,KC,2026,824122,15,108,118,0,0.0,1.0,27.0,0.3333333333333333,2.0,6.0,0.0,1.0,1.0,42.2,42.2,50.0,0.0,0.37983456790123454,0.17811890838206626,1.06,0.0,76.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.83904873294347,0.7824555555555557,25.626300000000008,1.0,1.0,9.0,1.0,1.0,9.0
2026-04-27,Drew_Pomeranz,pitcher,LAA,CWS,2026,824609,16,108,145,0,2.0,2.0,18.0,1.0,5.0,21.0,0.0,2.0,2.0,25.2,25.2,71.0,28.57142857142857,0.2668547008547009,0.2478734715576821,1.08,0.0,61.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,12.6,2.5,0.5,12.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.5730122275385434,0.28844615384615424,-5.503984615384612,0.8,1.0,12.6,0.0,1.0,27.0
2026-04-29,Drew_Pomeranz,pitcher,LAA,CWS,2026,824608,17,108,145,0,0.0,1.0,27.0,0.3333333333333333,4.0,6.0,2.0,1.0,0.0,21.2,21.2,33.0,0.0,0.28235648148148157,0.27631578947368424,1.08,12.0,51.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,1.5,16.2,2.5,1.5,16.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.0654736842105264,-0.19379583333333272,19.067512500000017,0.8,1.4,16.2,2.0,2.0,18.0
2026-05-03,Drew_Pomeranz,pitcher,LAA,NYM,2026,824043,18,108,121,1,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,78.0,33.33333333333333,0.2827268518518519,0.19674399674399676,1.08,8.0,69.0,0,4.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2.5,1.5,21.6,2.5,1.5,21.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.9820480260480262,-0.20812916666666648,-9.973162499999999,0.8,1.6,21.6,0.0,1.0,27.0
2026-05-05,Drew_Pomeranz,pitcher,LAA,CWS,2026,824040,19,108,145,1,1.0,0.0,0.0,1.0,5.0,19.0,0.0,2.0,0.0,1.2000000000000002,1.2000000000000002,74.0,15.789473684210526,0.33673484848484864,0.2977591036414566,1.08,0.0,64.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,2.5,0.5,16.2,2.5,0.5,16.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.0339271708683475,0.442906818181819,-7.713838636363629,0.8,1.0,16.2,1.0,0.0,0.0
