Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Drew_Pomeranz,519141,pitcher,LAA,ITA,2026,831844,0,108,841,1,0.0,2.0,1.0,9.0,1.0,5.0,17.0,0.0,2.0,0.0,-0.7999999999999998,-0.7999999999999998,76.0,35.294117647058826,0.24703703703703705,0.21739130434782608,1.038888888888889,-3.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.656425120772947,0.16966666666666685,-2.972999999999998,2.0,1.0,9.0,2.0,1.0,9.0
2026-03-07,Drew_Pomeranz,519141,pitcher,LAA,ATH,2026,831828,1,108,133,0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,3.2,3.2,75.0,0.0,0.3737039630667081,0.16501035196687372,1.0666666666666669,0.0,63.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.0865838509316772,0.7596678338001865,2.337010504201679,2.0,1.0,9.0,2.0,1.0,9.0
2026-03-15,Drew_Pomeranz,519141,pitcher,LAA,COL,2026,831858,2,108,115,1,0.0,0.0,3.0,81.0,0.3333333333333333,6.0,29.0,3.0,2.0,1.0,69.2,69.2,41.0,0.0,0.33831625074272137,0.21268751589117718,1.038888888888889,0.0,86.0,0,8.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.6940554284261382,0.06042312834224628,10.63142446524065,1.0,0.5,4.5,0.0,0.0,0.0
2026-03-19,Drew_Pomeranz,519141,pitcher,LAA,KC,2026,831822,3,108,118,0,0.0,2.0,0.0,0.0,0.3333333333333333,2.0,10.0,0.0,0.0,0.0,-8.8,-8.8,60.0,60.0,0.36231543803418803,0.3536968002485244,1.0611111111111111,3.0,101.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,30.0,2.5,1.5,30.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.8148700424562494,0.2644194711538461,17.639325721153853,0.6666666666666666,1.3333333333333333,30.0,0.0,3.0,81.0
2026-03-22,Drew_Pomeranz,519141,pitcher,LAA,LAD,2026,831804,4,108,119,1,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,3.2,3.2,60.0,0.0,0.45376353276353276,0.2220519369944657,1.08,8.0,74.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,22.5,2.5,0.5,22.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3555845040442744,0.9695358974358974,-9.274176923076924,1.0,1.0,22.5,2.0,0.0,0.0
2026-03-26,Drew_Pomeranz,519141,pitcher,LAA,HOU,2026,824218,5,108,117,0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,3.2,3.2,67.0,0.0,0.39666614866614863,0.1748388704910444,1.08,0.0,73.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,18.0,2.5,0.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.157289036071645,0.5685976689976691,-8.38262097902098,0.8,0.8,18.0,0.0,0.0,0.0
2026-03-29,Drew_Pomeranz,519141,pitcher,LAA,HOU,2026,824215,6,108,117,0,0.0,0.0,3.0,27.0,1.0,8.0,17.0,2.0,2.0,0.0,9.2,9.2,59.0,0.0,0.26620252525252525,0.26196172248803823,1.08,0.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,16.2,2.5,0.5,16.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.7483062200956943,-0.1624886363636363,-13.162397727272726,0.4,0.6,16.2,0.0,0.0,0.0
2026-03-31,Drew_Pomeranz,519141,pitcher,LAA,CHC,2026,824699,7,108,112,0,0.0,2.0,0.0,0.0,1.3333333333333333,5.0,20.0,0.0,1.0,0.0,0.2000000000000001,0.2000000000000001,70.0,30.0,0.33662037037037046,0.1976848275270083,1.0522222222222224,-14.0,44.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,1.5,21.6,2.5,1.5,21.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.2514102686728226,0.04639166666666705,-11.161856249999998,0.4,1.2,21.6,0.0,3.0,27.0
2026-04-03,Drew_Pomeranz,519141,pitcher,LAA,SEA,2026,824056,8,108,136,1,0.0,0.0,0.0,0.0,1.0,5.0,17.0,1.0,1.0,0.0,6.2,6.2,59.0,0.0,0.2048658810325477,0.2646459899749373,1.08,12.0,77.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.1588320802005017,-0.4385035353535353,-4.846531818181818,0.8,0.6,5.4,2.0,0.0,0.0
2026-04-04,Drew_Pomeranz,519141,pitcher,LAA,SEA,2026,824054,9,108,136,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,4.0,0.0,0.0,0.0,3.2,3.2,75.0,0.0,0.19699214365881032,0.22371031746031744,1.08,8.0,82.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.0543174603174608,-0.4739353535353535,-4.696254545454544,0.4,0.6,5.4,0.0,0.0,0.0
