Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-13,Joe_Mantiply,pitcher,TOR,MIN,2026,831623,0,141,142,1,1.0,0.0,0.0,1.0,6.0,25.0,1.0,1.0,0.0,4.2,4.2,52.0,12.0,0.36680961663417805,0.16852828438194292,1.08,11.0,73.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.9237737249444566,-0.1417567251461987,1.7241894736842118,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-20,Joe_Mantiply,pitcher,TOR,MIN,2026,831604,1,141,142,0,1.0,0.0,0.0,1.0,3.0,12.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,75.0,25.0,0.23436274509803925,0.245879851143009,1.08,0.0,73.0,0,7.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.304961190855928,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-05,Joe_Mantiply,pitcher,TOR,CWS,2026,824620,2,141,145,0,3.0,0.0,0.0,1.3333333333333333,4.0,17.0,0.0,0.0,0.0,-1.2999999999999998,-1.2999999999999998,65.0,52.94117647058824,0.23238846801346802,0.2271156024300193,1.08,4.0,50.0,0,16.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.4550751805598456,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-06,Joe_Mantiply,pitcher,TOR,LAD,2026,822832,3,141,119,1,1.0,3.0,40.5,0.6666666666666666,5.0,25.0,2.0,1.0,1.0,28.7,28.7,52.0,12.0,0.4271593434343434,0.19289164941338854,1.08,0.0,68.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-0.9688668046928917,0.12981704545454553,7.002530113636366,1.6666666666666667,0.0,0.0,3.0,0.0,0.0
2026-04-10,Joe_Mantiply,pitcher,TOR,MIN,2026,822829,4,141,142,1,3.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,-2.8,-2.8,67.0,60.0,0.34434764309764315,0.20594374862667544,1.08,0.0,68.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,10.1,2.5,0.5,10.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.2644500109865964,0.7771643939393944,1.3944795454545496,1.5,0.75,10.125,1.0,3.0,40.5
2026-04-12,Joe_Mantiply,pitcher,TOR,MIN,2026,822828,5,141,142,1,1.0,0.0,0.0,1.6666666666666665,8.0,21.0,0.0,2.0,0.0,2.0,2.0,71.0,14.285714285714285,0.34004444444444454,0.23364153627311524,1.08,0.0,68.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-0.546867709815078,0.16980000000000062,-4.483079999999996,1.8,0.6,8.1,3.0,0.0,0.0
2026-04-16,Joe_Mantiply,pitcher,TOR,MIL,2026,823801,6,141,158,0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,90.0,30.0,0.2969924242424242,0.18609836279009215,1.0733333333333333,-8.0,71.0,0,4.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.2045464310125962,-0.02873409090909096,-3.8586068181818183,1.8,0.6,8.1,1.0,0.0,0.0
2026-04-17,Joe_Mantiply,pitcher,TOR,AZ,2026,825101,7,141,109,0,1.0,1.0,9.0,1.0,5.0,15.0,0.0,2.0,0.0,1.2000000000000002,1.2000000000000002,73.0,20.0,0.3539444444444444,0.27682227682227684,1.08,0.0,81.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,8.1,2.5,0.5,8.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-0.4814217854217855,0.23234999999999995,-1.5088499999999998,1.8,0.6,8.1,1.0,0.0,0.0
2026-04-22,Joe_Mantiply,pitcher,TOR,LAA,2026,824044,8,141,108,0,2.0,0.0,0.0,1.3333333333333333,6.0,23.0,1.0,1.0,0.0,2.45,2.45,65.0,26.08695652173913,0.2169230769230769,0.3291245791245791,1.08,6.0,68.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.9,2.5,0.5,9.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-0.3510033670033672,-0.0802461538461538,-7.066661538461538,1.4,0.8,9.9,1.0,1.0,9.0
2026-04-24,Joe_Mantiply,pitcher,TOR,CLE,2026,822827,9,141,114,1,1.0,0.0,0.0,1.6666666666666665,6.0,19.0,0.0,2.0,0.0,2.0,2.0,79.0,15.789473684210526,0.29606919191919195,0.19828364950316169,1.08,0.0,68.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.1137308039747067,-0.31608863636363616,-0.8068786363636351,1.6,0.2,1.8,2.0,0.0,0.0
2026-04-27,Joe_Mantiply,pitcher,TOR,BOS,2026,822825,10,141,111,1,2.0,0.0,0.0,1.0,4.0,12.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,75.0,50.0,0.36792222222222226,0.15477477477477483,1.08,0.0,68.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.8898018018018015,0.007250000000000312,2.7652500000000027,1.2,0.2,1.8,1.0,0.0,0.0
2026-04-29,Joe_Mantiply,pitcher,TOR,BOS,2026,822821,11,141,111,1,1.0,0.0,0.0,0.3333333333333333,3.0,10.0,0.0,2.0,0.0,-2.8,-2.8,80.0,30.0,0.26812345679012345,0.21447072072072074,1.08,0.0,68.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-09T00:50:56.220011+00:00,-1.1282342342342342,-0.4418444444444444,-0.22979999999999867,1.4,0.2,1.8,2.0,0.0,0.0
