Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-05,MacKenzie_Gore,669022,pitcher,TEX,KC,2026,831733,0,140,118,0,1.0,2.0,7.0,37.8,1.6666666666666663,14.0,53.0,3.0,6.0,0.0,6.200000000000001,6.200000000000001,55.00000000000001,11.320754716981131,0.34373644179894175,0.24810606060606064,1.0611111111111111,19.0,70.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,6.5,37.8,2.5,6.5,37.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.4195959595959593,-0.09918601190476206,-3.235604464285707,2.0,7.0,37.8,2.0,7.0,37.8
2026-03-16,MacKenzie_Gore,669022,pitcher,TEX,CWS,2026,831905,1,140,145,1,1.0,3.0,0.0,0.0,4.333333333333333,18.0,76.0,3.0,2.0,0.0,3.8923076923076927,3.8923076923076927,59.0,11.842105263157894,0.29948067210567214,0.2606545939879273,1.0611111111111111,-5.0,90.0,0,11.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,6.5,37.8,2.5,6.5,37.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3192076925410263,-0.29833697552447536,-24.919622949166214,2.0,7.0,37.8,2.0,7.0,37.8
2026-03-23,MacKenzie_Gore,669022,pitcher,TEX,KC,2026,831838,2,140,118,1,1.0,3.0,0.0,0.0,4.0,14.0,51.0,0.0,3.0,0.0,1.7000000000000002,1.7000000000000002,75.0,17.647058823529413,0.28091203703703704,0.16508819323057367,1.08,-4.0,77.0,0,7.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,3.5,18.9,2.5,3.5,18.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.591294454155411,-1.0082958333333334,-13.293665625,2.5,3.5,18.9,3.0,0.0,0.0
2026-03-29,MacKenzie_Gore,669022,pitcher,TEX,PHI,2026,823487,3,140,143,0,1.0,7.0,2.0,3.375,5.333333333333333,22.0,90.0,3.0,2.0,0.0,2.2625,2.2625,60.0,23.33333333333333,0.29453051346801346,0.27621328224776504,1.08,13.0,54.0,0,6.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,2.5,12.6,2.5,2.5,12.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.41770625798212,-0.7870126893939393,-9.709333913352271,2.6666666666666665,2.3333333333333335,12.6,3.0,0.0,0.0
2026-04-03,MacKenzie_Gore,669022,pitcher,TEX,CIN,2026,822919,4,140,113,1,1.0,9.0,3.0,4.5,6.0,24.0,88.0,0.0,6.0,2.0,4.533333333333333,4.533333333333333,65.0,30.681818181818183,0.25978619528619534,0.2561919279907085,1.08,0.0,74.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,3.5,2.5,10.3,3.5,2.5,10.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5975354239256676,-0.6833621212121208,-7.575043181818183,3.75,2.25,10.29375,7.0,2.0,3.375
2026-04-08,MacKenzie_Gore,669022,pitcher,TEX,SEA,2026,822915,5,140,136,1,1.0,9.0,0.0,0.0,5.0,17.0,82.0,2.0,1.0,0.0,0.8000000000000003,0.8000000000000003,60.0,32.926829268292686,0.22311944444444443,0.2627328770087864,1.08,0.0,74.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,4.5,2.5,9.1,4.5,2.5,9.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6858630160702912,-0.5803624999999999,-5.644652499999999,4.8,2.4,9.135,9.0,3.0,4.5
2026-04-14,MacKenzie_Gore,669022,pitcher,TEX,ATH,2026,825022,6,140,133,0,1.0,5.0,2.0,3.8571428571428568,4.666666666666667,22.0,94.0,6.0,3.0,0.0,4.914285714285715,4.914285714285715,56.00000000000001,15.95744680851064,0.2637583333333333,0.2579520697167756,1.08,8.0,66.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,6.5,0.5,1.6,6.5,0.5,1.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3443834422657952,0.11451250000000002,-0.4148687500000001,6.2,1.0,1.575,9.0,0.0,0.0
2026-04-19,MacKenzie_Gore,669022,pitcher,TEX,SEA,2026,823150,7,140,136,0,1.0,5.0,5.0,9.0,5.0,23.0,90.0,1.0,7.0,3.0,9.6,9.6,68.0,16.666666666666664,0.2585597643097643,0.24610136452241713,1.08,0.0,66.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6.5,1.5,2.3,6.5,1.5,2.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.7111890838206634,-0.30088106060606035,-0.1415859090909084,6.6,1.4,2.3464285714285715,5.0,2.0,3.8571428571428568
2026-04-25,MacKenzie_Gore,669022,pitcher,TEX,ATH,2026,822910,8,140,133,1,1.0,7.0,3.0,5.4,5.0,25.0,106.0,3.0,6.0,0.0,2.2,2.2,68.0,19.81132075471698,0.3631574074074075,0.18239348471906613,1.08,0.0,74.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6.5,2.5,4.1,6.5,2.5,4.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9328521222474713,0.36980833333333374,1.0656550000000014,7.0,2.4,4.146428571428571,5.0,5.0,9.0
2026-05-01,MacKenzie_Gore,669022,pitcher,TEX,DET,2026,824287,9,140,116,0,1.0,3.0,3.0,7.363636363636364,3.6666666666666665,18.0,94.0,3.0,4.0,0.0,4.0181818181818185,4.0181818181818185,59.0,9.574468085106384,0.30319949494949494,0.23684210526315788,1.0666666666666669,5.0,48.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,6.5,2.5,4.6,6.5,2.5,4.6,real,real,synthetic,9.0,5.0,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.5270462766947298,0.0,0.0,2026-05-02T00:15:33.012287+00:00,-0.21192982456140275,-0.08560227272727294,1.326248966942149,7.0,2.6,4.551428571428572,7.0,3.0,5.4
2026-05-07,MacKenzie_Gore,669022,pitcher,TEX,NYY,2026,823551,10,140,147,0,1.0,3.0,5.0,8.4375,5.333333333333333,25.0,96.0,3.0,6.0,0.0,3.7625,3.7625,63.0,9.375,0.31665061728395066,0.1941093335664539,1.08,9.0,60.0,0,6.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,5.5,2.5,5.1,5.5,2.5,5.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9831253314683686,-0.015472222222222332,-0.9073593749999995,5.8,2.6,5.124155844155845,3.0,3.0,7.363636363636364
2026-05-12,MacKenzie_Gore,669022,pitcher,TEX,AZ,2026,822903,11,140,109,1,1.0,5.0,1.0,1.125,8.0,28.0,95.0,1.0,3.0,1.0,3.95,3.95,66.0,15.789473684210526,0.20806313131313137,0.21943666355431066,1.08,8.0,84.0,0,5.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,4.5,3.5,6.8,4.5,3.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6445066915655149,-0.46411590909090883,-3.384630397727272,4.6,3.6,6.811655844155846,3.0,5.0,8.4375
