Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-05,Louis_Varland,pitcher,TOR,ATL,2026,831583,0,141,144,0,0.0,2.0,18.0,1.0,6.0,18.0,1.0,2.0,1.0,19.2,19.2,44.0,0.0,0.3313226216412491,0.1986281692164045,1.08,-6.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-2.5,0.458551797385621,-0.3730338235294113,0.0,2.0,18.0,0.0,2.0,18.0
2026-03-10,Louis_Varland,pitcher,TOR,ATL,2026,831513,1,141,144,1,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,3.2,3.2,70.0,0.0,0.29411492374727666,0.24155474155474152,1.08,-6.0,81.0,0,5.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-2.199562067562068,0.2911171568627451,-1.8799455882352945,0.0,2.0,18.0,0.0,2.0,18.0
2026-03-14,Louis_Varland,pitcher,TOR,DET,2026,831614,2,141,116,1,1.0,1.0,9.0,1.0,5.0,24.0,1.0,1.0,0.0,4.2,4.2,57.99999999999999,12.5,0.20058804418453538,0.2811084329110895,1.08,0.0,78.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.883132536711284,-0.1697538011695907,-6.027784210526317,0.0,1.0,9.0,0.0,0.0,0.0
2026-03-18,Louis_Varland,pitcher,TOR,BAL,2026,831600,3,141,110,1,3.0,0.0,0.0,1.3333333333333333,4.0,16.0,0.0,0.0,0.0,-1.2999999999999998,-1.2999999999999998,75.0,56.25,0.3289203431372549,0.25589430894308945,1.08,14.0,61.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.7048455284552846,0.567741544117647,-1.792744577205883,0.3333333333333333,1.0,9.0,1.0,1.0,9.0
2026-03-22,Louis_Varland,pitcher,TOR,TB,2026,831592,4,141,139,1,1.0,1.0,9.0,1.0,4.0,12.0,0.0,1.0,1.0,14.2,14.2,75.0,25.0,0.18788671023965142,0.24157706093189968,1.08,-4.0,73.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.0593835125448026,-0.40690980392156845,-5.962188235294116,1.0,0.75,6.75,3.0,0.0,0.0
2026-03-27,Louis_Varland,pitcher,TOR,ATH,2026,822839,5,141,133,1,1.0,0.0,0.0,1.0,4.0,16.0,1.0,1.0,0.0,4.2,4.2,50.0,18.75,0.3595037361923326,0.20782828282828283,1.08,0.0,68.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,7.2,2.5,0.5,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.6093737373737373,0.561366812865497,2.3523013157894725,1.0,0.8,7.2,1.0,1.0,9.0
2026-03-28,Louis_Varland,pitcher,TOR,ATH,2026,822838,6,141,133,1,1.0,0.0,0.0,1.0,4.0,14.0,1.0,1.0,0.0,4.2,4.2,43.0,21.428571428571427,0.31019818063677707,0.2828282828282828,1.08,0.0,68.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.8653737373737376,-0.10850818713450311,-0.07657368421052801,1.2,0.4,3.6,1.0,0.0,0.0
2026-03-30,Louis_Varland,pitcher,TOR,COL,2026,822834,7,141,115,1,3.0,0.0,0.0,1.3333333333333333,7.0,30.0,0.0,2.0,0.0,-1.2999999999999998,-1.2999999999999998,67.0,30.0,0.19673148148148148,0.2853736089030207,1.08,0.0,68.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.7010111287758343,-0.5,-3.6,1.4,0.4,3.6,1.0,0.0,0.0
2026-04-03,Louis_Varland,pitcher,TOR,CWS,2026,824621,8,141,145,0,1.0,0.0,0.0,1.0,3.0,15.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,60.0,20.0,0.21692951739618413,0.2881898830665434,1.08,0.0,53.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.11048093546765259,-0.5,-1.8,1.8,0.2,1.8,3.0,0.0,0.0
2026-04-07,Louis_Varland,pitcher,TOR,LAD,2026,822831,9,141,119,1,2.0,0.0,0.0,1.3333333333333333,4.0,23.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,61.0,26.08695652173913,0.41591186868686875,0.19066942719116634,1.08,0.0,68.0,0,4.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.4586445824706693,0.22320340909090952,3.0816230113636394,1.4,0.2,1.8,1.0,0.0,0.0
