Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-02,Brandon_Lowe,hitter,PIT,TB,2026,831577,0,134,139,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.09090909090909091,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,3.6,1.08,-10.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2792969696969696,-0.4744,-0.4370909090909091,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Brandon_Lowe,hitter,PIT,STL,2026,831478,1,134,138,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.4473684210526316,1.08,0.0,83.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.4057052631578947,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Brandon_Lowe,hitter,PIT,PHI,2026,831470,2,134,143,1,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.044444444444444446,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.482142857142857,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.06701904761904776,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Brandon_Lowe,hitter,PIT,BOS,2026,831571,3,134,111,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.06976744186046512,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,40.5,0.0,7.41019052155275,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.25203242706366047,-0.4744,-0.2714439622944555,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Brandon_Lowe,hitter,PIT,BAL,2026,831562,4,134,110,1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.075,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.798214285714286,1.08,-8.0,80.0,0,6.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1794214285714285,-0.4744,-0.3648892857142857,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Brandon_Lowe,hitter,PIT,TB,2026,831511,5,134,139,0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.09090909090909091,0.0,0.0,0.0,0.0,10.0,0.0,15.814285714285713,7.111063372717509,1.0611111111111111,6.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.48044444444444445,-0.3305377404550336,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,Brandon_Lowe,hitter,PIT,HOU,2026,831560,6,134,117,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.08333333333333333,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,6.0,9.0,2.7658408818072684,1.08,-13.0,56.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.4804663647277092,-0.4744,-0.48770795590963656,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Brandon_Lowe,hitter,PIT,DET,2026,831558,7,134,116,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,15.0,8.4,1.6757543926661573,1.08,-10.0,70.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.43518385938107296,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Brandon_Lowe,hitter,PIT,TOR,2026,831553,8,134,141,1,3.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.10526315789473684,0.6675,0.6675,0.0,0.0,65.0,0.0,2.25,3.5710361067503924,1.08,2.0,76.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.014811619708612334,-0.4744,-0.29040872097826986,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Brandon_Lowe,hitter,PIT,ATL,2026,831447,9,134,144,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,10.0,0.0,27.0,1.7377747252747253,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.4744,-0.5,0.6,0.0,0.0,3.0,0.0,0.0
