Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Garrett_Mitchell,hitter,MIL,KC,2026,831794,0,158,118,0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,2.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.25881081081081075,-0.48044444444444445,-0.49764864864864866,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Garrett_Mitchell,hitter,MIL,GBR,2026,831855,1,158,821,1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.0722222222222222,-3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.27349999999999997,-0.4768888888888889,-0.40599999999999997,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Garrett_Mitchell,hitter,MIL,COL,2026,831792,2,158,115,0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,0.08695652173913043,1.0150000000000001,1.0150000000000001,1.3333333333333333,30.0,65.0,0.0,9.0,8.337662337662337,1.0611111111111111,18.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.31199924712968186,-0.07211111111111113,0.030643986448334326,0.5,0.0,0.0,1.0,0.0,0.0
2026-03-08,Garrett_Mitchell,hitter,MIL,SEA,2026,831740,3,158,136,1,0.0,0.0,0.0,4.0,4.0,0.0,3.0,1.0,0.10810810810810811,0.0,0.0,0.0,0.0,10.0,4.5,18.0,11.278432494279178,1.0722222222222222,0.0,86.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.5,1.0,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.04272288535675295,-0.1435555555555556,0.4447234265157609,1.0,0.3333333333333333,1.3333333333333333,2.0,1.0,4.0
2026-03-12,Garrett_Mitchell,hitter,MIL,CLE,2026,831791,4,158,114,0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.12903225806451613,0.0,0.0,0.0,0.0,10.0,0.0,9.0,2.5166208791208793,1.08,2.0,85.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2779244121469928,-0.2994,-0.3354270205600849,0.75,0.25,1.0,0.0,0.0,0.0
2026-03-13,Garrett_Mitchell,hitter,MIL,ATH,2026,831935,5,158,133,1,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,0.1,0.1725,0.1725,0.0,0.0,20.7,0.0,9.0,4.805108354683907,1.0722222222222222,0.0,89.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.18387100085402286,-0.3368888888888889,-0.33939458226580455,0.6,0.2,0.8,0.0,0.0,0.0
2026-03-15,Garrett_Mitchell,hitter,MIL,SF,2026,831787,6,158,137,0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.10344827586206896,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.216129032258065,1.038888888888889,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.20604746014089736,-0.3475555555555555,-0.36653837597330363,0.6,0.2,0.8,0.0,0.0,0.0
2026-03-18,Garrett_Mitchell,hitter,MIL,LAA,2026,831818,7,158,108,1,0.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,0.11904761904761904,0.13799999999999998,0.13799999999999998,0.0,0.0,16.56,3.0,11.0,2.8013147566719,1.0722222222222222,5.0,98.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.06228074306645731,-0.3368888888888889,-0.4275342621664049,0.4,0.2,0.8,0.0,0.0,0.0
2026-03-19,Garrett_Mitchell,hitter,MIL,TEX,2026,831722,8,158,140,1,0.0,0.0,0.0,4.0,4.0,0.0,3.0,5.0,0.10526315789473684,0.0,0.0,0.0,0.0,10.0,0.0,9.0,4.380612244897959,1.0722222222222222,0.0,104.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1633720014321518,-0.4768888888888889,-0.45017991407089153,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Garrett_Mitchell,hitter,MIL,SD,2026,831767,9,158,135,1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.09375,0.0,0.0,0.0,0.0,10.0,6.0,12.0,4.833116883116882,1.0722222222222222,7.0,101.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3261961580086581,-0.4768888888888889,-0.4410941558441559,0.0,0.0,0.0,0.0,0.0,0.0
