Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Jack_Flaherty,pitcher,DET,PAN,2026,831433,0,116,890,1,3.0,0.0,0.0,3.0,10.0,38.0,0.0,2.0,0.0,1.2000000000000002,1.2000000000000002,66.0,23.684210526315788,0.315,0.225,1.0611111111111111,-11.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.255555555555556,-0.38849999999999996,-1.1654999999999998,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-16,Jack_Flaherty,pitcher,DET,PHI,2026,831498,1,116,143,1,3.0,5.0,9.0,5.0,20.0,71.0,1.0,5.0,1.0,5.2,5.2,63.0,12.676056338028168,0.22887254901960785,0.258219077104526,1.0611111111111111,20.0,83.0,0,12.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.5213081723917639,-0.5,-1.5,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-23,Jack_Flaherty,pitcher,DET,COL,2026,831857,2,116,115,0,6.0,4.0,7.7142857142857135,4.666666666666667,21.0,81.0,1.0,7.0,2.0,6.842857142857143,6.842857142857143,63.0,22.22222222222222,0.3646481481481481,0.2579365079365079,1.0611111111111111,0.0,93.0,0,7.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,2.5,4.5,2.5,2.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.519047619047619,0.4349166666666662,1.1601964285714272,3.0,2.5,4.5,3.0,5.0,9.0
2026-03-28,Jack_Flaherty,pitcher,DET,SD,2026,823323,3,116,135,0,2.0,2.0,4.153846153846154,4.333333333333333,21.0,89.0,4.0,4.0,0.0,5.046153846153846,5.046153846153846,55.00000000000001,6.741573033707865,0.2612416556873079,0.23425925925925925,1.08,0.0,71.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3.5,2.5,5.6,3.5,2.5,5.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.4620740740740734,0.18318745059288588,-0.02722606415323625,4.0,3.0,5.571428571428572,6.0,4.0,7.7142857142857135
2026-04-09,Jack_Flaherty,pitcher,DET,MIN,2026,823724,4,116,142,0,6.0,1.0,1.588235294117647,5.666666666666667,23.0,89.0,3.0,5.0,1.0,4.964705882352941,4.964705882352941,56.00000000000001,20.224719101123593,0.3335067340067341,0.20197549465842146,1.08,6.0,45.0,0,12.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,3.5,2.5,5.2,3.5,2.5,5.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.7161960427326286,0.008380303030302905,-1.2161018716577545,3.5,2.75,5.217032967032967,2.0,2.0,4.153846153846154
2026-04-15,Jack_Flaherty,pitcher,DET,KC,2026,824291,5,116,118,1,7.0,1.0,1.5,6.0,22.0,97.0,3.0,2.0,0.0,2.3666666666666667,2.3666666666666667,55.00000000000001,21.649484536082475,0.20529797979797978,0.1818432463593754,1.0666666666666667,0.0,70.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,3.5,2.5,4.5,3.5,2.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.04807930420833584,-0.9901590909090909,-2.2352386363636363,4.0,2.4,4.491273432449903,6.0,1.0,1.588235294117647
2026-04-20,Jack_Flaherty,pitcher,DET,BOS,2026,824776,6,116,111,0,3.0,0.0,0.0,3.3333333333333335,20.0,73.0,6.0,3.0,0.0,6.8,6.8,56.00000000000001,12.32876712328767,0.22724831649831653,0.3021645021645022,1.08,9.0,47.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,4.5,2.5,4.8,4.5,2.5,4.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.7213160173160169,-0.7377825757575753,-0.04201295454545395,4.8,2.6,4.791273432449903,7.0,1.0,1.5
2026-04-25,Jack_Flaherty,pitcher,DET,CIN,2026,824527,7,116,113,0,4.0,6.0,27.0,2.0,14.0,68.0,2.0,5.0,3.0,21.7,21.7,60.0,17.647058823529413,0.3499104938271605,0.24871160585446303,1.08,7.0,72.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,4.5,1.5,3.0,4.5,1.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.26630715316429576,-0.06580277777777765,3.4538875000000004,4.8,1.6,2.991273432449903,3.0,0.0,0.0
2026-05-01,Jack_Flaherty,pitcher,DET,TEX,2026,824287,8,116,140,1,4.0,4.0,9.818181818181818,3.6666666666666665,19.0,91.0,3.0,5.0,1.0,7.0181818181818185,7.0181818181818185,60.0,13.186813186813188,0.3073643162393162,0.22691469750293283,1.0666666666666667,5.0,48.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,5.5,2.5,6.8,4.5,1.5,6.8,real,real,synthetic,9.0,5.0,0.0,0.0,0.0,-110.0,0.0,0.0,-110.0,0.0,0.0,0.0,2026-05-02T00:15:33.012287+00:00,-1.5833490866432043,-0.018860576923076966,-0.7099305069930066,4.4,2.0,6.84841628959276,4.0,6.0,27.0
2026-05-06,Jack_Flaherty,pitcher,DET,BOS,2026,824282,9,116,111,1,10.0,2.0,3.6,5.0,21.0,96.0,1.0,3.0,0.0,-0.19999999999999973,-0.19999999999999973,70.0,31.25,0.3396734006734006,0.257844222960502,1.0666666666666667,8.0,54.0,0,5.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,4.5,2.5,8.0,4.5,2.5,8.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.04791288298264984,0.09453030303030285,-3.3298454545454543,4.8,2.4,7.981283422459893,4.0,4.0,9.818181818181818
2026-05-12,Jack_Flaherty,pitcher,DET,NYM,2026,823632,10,116,121,0,2.0,3.0,7.363636363636364,3.6666666666666665,20.0,97.0,3.0,6.0,0.0,4.563636363636364,4.563636363636364,61.0,6.185567010309279,0.1895173961840629,0.21514161220043573,1.08,12.0,59.0,0,6.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,5.5,2.5,8.4,5.5,2.5,8.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.021132897603486356,-0.7475717171717171,-4.098585123966942,5.6,2.6,8.383636363636365,10.0,2.0,3.6
2026-05-17,Jack_Flaherty,pitcher,DET,TOR,2026,824279,11,116,141,1,4.0,4.0,6.0,6.0,24.0,90.0,0.0,5.0,1.0,4.033333333333333,4.033333333333333,69.0,13.333333333333334,0.22304605887939222,0.1460492300775542,1.0666666666666667,-8.0,83.0,0,5.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.5,2.5,9.6,4.5,2.5,9.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.366272826046234,-0.15829273504273456,-6.087439102564101,4.6,3.0,9.556363636363638,2.0,3.0,7.363636363636364
2026-05-22,Jack_Flaherty,pitcher,DET,BAL,2026,824842,12,116,110,0,7.0,3.0,8.1,3.3333333333333335,19.0,78.0,0.0,8.0,2.0,6.8,6.8,69.0,26.923076923076923,0.2656818181818182,0.26771436448855807,1.08,-6.0,55.0,0,5.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,4.5,3.5,10.8,4.5,3.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.02571491590846442,-0.2208318181818183,-1.9462459090909103,4.8,3.8,10.756363636363638,4.0,4.0,6.0
2026-05-28,Jack_Flaherty,pitcher,DET,LAA,2026,824272,13,116,108,1,9.0,3.0,4.764705882352941,5.666666666666667,24.0,91.0,1.0,6.0,0.0,0.5529411764705885,0.5529411764705885,64.0,29.67032967032967,0.3023526374859708,0.3013196480938416,1.0666666666666667,7.0,70.0,0,6.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,5.5,3.5,7.0,5.5,3.5,7.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.15189051808406706,-0.6574131313131315,-2.48530320855615,5.4,3.2,6.9763636363636365,7.0,3.0,8.1
2026-06-02,Jack_Flaherty,pitcher,DET,TB,2026,822971,14,116,139,0,6.0,0.0,0.0,5.0,22.0,94.0,2.0,5.0,0.0,2.0,2.0,60.0,19.148936170212767,0.3138217171717171,0.20170344560588463,1.08,0.0,72.0,0,5.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,6.5,2.5,6.0,6.5,2.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.6503724351529225,0.25979772727272676,-1.032364090909092,6.4,3.0,5.965668449197861,9.0,3.0,4.764705882352941
2026-06-07,Jack_Flaherty,pitcher,DET,SEA,2026,824268,15,116,136,1,7.0,3.0,5.4,5.0,22.0,87.0,1.0,6.0,0.0,1.0,1.0,62.0,24.137931034482758,0.3161481481481481,0.22123508565402394,1.0666666666666667,0.0,80.0,0,5.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,5.5,2.5,5.2,5.5,2.5,5.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.4847859814344746,-0.5073333333333334,-1.6132000000000009,5.6,2.6,5.245668449197861,6.0,0.0,0.0
2026-06-12,Jack_Flaherty,pitcher,DET,CLE,2026,824425,16,116,114,0,1.0,2.0,6.0,3.0,13.0,63.0,1.0,3.0,0.0,3.5333333333333337,3.5333333333333337,62.0,4.761904761904762,0.2998261784511785,0.24139854139854144,1.08,0.0,76.0,0,5.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,6.5,2.5,4.9,6.5,2.5,4.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.4688116688116679,-0.09118219696969687,2.3264534090909086,6.6,2.6,4.852941176470589,7.0,3.0,5.4
