Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-08,Taylor_Rogers,pitcher,MIN,PHI,2026,831522,0,142,143,1,1.0,0.0,0.0,1.0,3.0,17.0,1.0,0.0,0.0,4.2,4.2,65.0,17.647058823529413,0.3184241103848947,0.20997609303456377,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.59219125572349,-0.35949150326797374,-0.23542352941176348,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-11,Taylor_Rogers,pitcher,MIN,DET,2026,831619,1,142,116,1,2.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,63.0,37.5,0.29186809616634174,0.22128851540616248,1.08,0.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.5016918767507001,-0.4789935672514621,-1.3109421052631587,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-14,Taylor_Rogers,pitcher,MIN,TB,2026,831613,2,142,139,1,1.0,0.0,0.0,0.6666666666666666,2.0,10.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,70.0,30.0,0.31219135802469133,0.2080808080808081,1.08,4.0,78.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.1073535353535353,-0.3875388888888889,0.018224999999999936,1.5,0.0,0.0,2.0,0.0,0.0
2026-03-20,Taylor_Rogers,pitcher,MIN,TOR,2026,831604,3,142,141,1,0.0,0.0,0.0,1.3333333333333333,5.0,25.0,1.0,0.0,0.0,5.45,5.45,60.0,0.0,0.32109161793372315,0.28918669406474284,1.08,0.0,73.0,0,6.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.7185064474820573,-0.34748771929824573,-0.47054210526315865,1.3333333333333333,0.0,0.0,1.0,0.0,0.0
2026-03-24,Taylor_Rogers,pitcher,MIN,BOS,2026,832037,4,142,111,1,0.0,4.0,54.0,0.6666666666666666,6.0,25.0,2.0,2.0,0.0,12.2,12.2,40.0,0.0,0.2705296296296296,0.22319938515590687,1.08,0.0,82.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.6264049187527452,-0.5,-1.5,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,Taylor_Rogers,pitcher,MIN,BAL,2026,824865,5,142,110,0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,90.0,30.0,0.3609779077322937,0.27378341687552216,1.08,10.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.0,10.8,2.5,1.0,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.3657326649958228,0.5480005847953218,3.132005263157895,0.8,0.8,10.8,0.0,4.0,54.0
2026-03-30,Taylor_Rogers,pitcher,MIN,KC,2026,824135,6,142,118,0,1.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,56.99999999999999,21.428571428571427,0.21100050505050505,0.2266939208115679,1.06,0.0,85.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.0,10.8,2.5,1.0,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.594448633507457,-0.7812977272727273,-8.831679545454547,0.8,0.8,10.8,1.0,0.0,0.0
2026-04-02,Taylor_Rogers,pitcher,MIN,KC,2026,824133,7,142,118,0,1.0,0.0,0.0,0.3333333333333333,1.0,4.0,0.0,0.0,0.0,-2.8,-2.8,75.0,60.0,0.3452656565656566,0.20559479934479938,1.06,0.0,72.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,1.0,10.8,2.5,1.0,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.907241605241605,-0.17710454545454524,11.418177272727277,0.6,0.8,10.8,1.0,0.0,0.0
2026-04-04,Taylor_Rogers,pitcher,MIN,TB,2026,823730,8,142,139,1,0.0,2.0,18.0,1.0,5.0,23.0,0.0,3.0,0.0,3.2,3.2,52.0,0.0,0.256594696969697,0.2357549857549858,1.08,14.0,39.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,1.0,10.8,2.5,1.0,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.6739601139601137,-0.5617238636363635,-6.855514772727272,0.6,0.8,10.8,1.0,0.0,0.0
2026-04-05,Taylor_Rogers,pitcher,MIN,TB,2026,823729,9,142,139,1,0.0,0.0,0.0,0.6666666666666666,4.0,18.0,2.0,0.0,0.0,12.2,12.2,39.0,0.0,0.2806595117845118,0.2004406016033923,1.08,0.0,50.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,1.0,14.4,2.5,1.0,14.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-2.0964751871728615,0.15456780303030326,1.1866653409090944,0.6,1.2,14.4,0.0,2.0,18.0
