Date,Player,PTS,TRB,AST,STL,TOV,FG%,3P%,FT%,TS%,USG%,BPM,ORTG,DRTG,GmSc,Did_Not_Play,Rest_Days,Game_Index,Player_ID,Team_ID,Opponent,Opponent_ID,MATCHUP,MP,FGA,FTA,PLUS_MINUS,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,oppDfRtg_3,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,TS%_rolling_avg,USG%_rolling_avg,BPM_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,PTS_lag1,TRB_lag1,AST_lag1,STL_lag1,TOV_lag1,FG%_lag1,3P%_lag1,FT%_lag1,TS%_lag1,USG%_lag1,BPM_lag1,ORTG_lag1,DRTG_lag1,GmSc_lag1,Market_PTS,Market_TRB,Market_AST,Market_PTS_books,Market_TRB_books,Market_AST_books,Market_PTS_over_price,Market_TRB_over_price,Market_AST_over_price,Market_PTS_under_price,Market_TRB_under_price,Market_AST_under_price,Market_PTS_line_std,Market_TRB_line_std,Market_AST_line_std,Market_Fetched_At_UTC,Market_Source_PTS,Market_Source_TRB,Market_Source_AST,Synthetic_Market_PTS,Synthetic_Market_TRB,Synthetic_Market_AST,PTS_market_gap,TRB_market_gap,AST_market_gap
2025-10-24,Bronny_James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-56.25,0.0,110.0,-1.1,0,2.0,0,1642355,1610612747,MIN,1610612750,LAL vs. MIN,3.2,1.0,0.0,-5.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-56.25,0.0,110.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-56.25,0.0,110.0,-1.1,0.0,0.0,0.0,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,Bronny_James,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,5.076142131979696,-3.654822335025381,0.0,110.0,-0.5000000000000009,0,3.0,1,1642355,1610612747,POR,1610612757,LAL vs. POR,19.7,2.0,0.0,-2.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-56.25,0.0,110.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-56.25,0.0,110.0,-1.1,0.0,0.0,0.0,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,Bronny_James,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,110.0,-1.0,0,2.0,2,1642355,1610612747,MIN,1610612750,LAL @ MIN,5.0,0.0,0.0,5.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.1,0.0,1.5,1.5,0.5,1.5,0.0,0.0,0.0,0.0,5.663071065989848,-29.95241116751269,0.0,110.0,-0.8000000000000005,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,5.076142131979696,-3.654822335025381,0.0,110.0,-0.5000000000000009,0.0,1.5,1.5,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,1.5,1.5,0.0,0.0,0.0
2025-11-02,Bronny_James,2.0,0.0,2.0,3.0,0.0,0.25,0.0,0.0,0.25,4.41988950276243,1.9889502762430935,50.0,110.0,2.8,0,4.0,3,1642355,1610612747,MIA,1610612748,LAL vs. MIA,18.1,4.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.1,0.0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,5.108714043993232,-7.968274111675126,0.0,110.0,-0.866666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,110.0,-1.0,0.0,1.0,1.0,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.0,1.0,1.0,0.0,0.0,0.0
2025-11-03,Bronny_James,5.0,1.0,6.0,1.0,0.0,0.25,0.5,1.0,0.5122950819672131,5.005128205128205,0.0,102.45901639344262,110.0,8.1,0,1.0,4,1642355,1610612747,POR,1610612757,LAL @ POR,19.5,4.0,2.0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.1,0.5,0.75,1.25,1.0,1.0,0.0625,0.0,0.0,0.0625,4.936507908685531,-5.478968014695571,12.5,110.0,0.0499999999999997,2.0,0.0,2.0,3.0,0.0,0.25,0.0,0.0,0.25,4.41988950276243,1.9889502762430935,50.0,110.0,2.8,0.5,0.75,1.25,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.5,0.75,1.25,0.0,0.0,0.0
2025-11-05,Bronny_James,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.3333333333333333,11.538461538461537,-6.9230769230769225,66.66666666666667,110.0,-0.1999999999999997,0,2.0,5,1642355,1610612747,SAS,1610612759,LAL vs. SAS,5.2,3.0,0.0,-1.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,1.1,1.4,0.8,2.2,1.0,0.8,0.1,0.1,0.2,0.1524590163934426,4.950231967974067,-4.383174411756457,30.49180327868853,110.0,1.6599999999999997,5.0,1.0,6.0,1.0,0.0,0.25,0.5,1.0,0.5122950819672131,5.005128205128205,0.0,102.45901639344262,110.0,8.1,1.4,0.8,2.2,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.4,0.8,2.2,0.0,0.0,0.0
2025-11-08,Bronny_James,9.0,2.0,2.0,1.0,1.0,0.667,0.5,0.0,0.75,7.6923076923076925,7.912087912087912,128.57142857142858,110.0,8.4,0,3.0,6,1642355,1610612747,ATL,1610612737,LAL @ ATL,18.2,6.0,0.0,4.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.1,1.8,1.0,2.2,1.0,0.8,0.1666,0.1,0.2,0.2191256830601093,6.007924275666373,5.482210203628158,43.82513661202186,110.0,1.84,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.3333333333333333,11.538461538461537,-6.9230769230769225,66.66666666666667,110.0,-0.1999999999999997,1.8,1.0,2.2,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.8,1.0,2.2,0.0,0.0,0.0
2025-11-12,Bronny_James,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.638554216867467,26.024096385542165,0.0,110.0,-0.1,0,4.0,7,1642355,1610612747,OKC,1610612760,LAL @ OKC,8.3,4.0,0.0,6.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,1.1,3.6,0.8,2.0,1.0,0.4,0.3,0.2,0.2,0.3691256830601093,6.531157387731973,7.795592253050816,69.53942232630757,110.0,3.62,9.0,2.0,2.0,1.0,1.0,0.667,0.5,0.0,0.75,7.6923076923076925,7.912087912087912,128.57142857142858,110.0,8.4,3.6,0.8,2.0,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,3.6,0.8,2.0,0.0,0.0,0.0
2025-11-15,Bronny_James,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.040404040404041,-21.81818181818182,0.0,110.0,1.0,0,3.0,8,1642355,1610612747,MIL,1610612749,LAL @ MIL,9.9,2.0,0.0,-6.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.1,3.6,1.0,2.4,1.2,0.2,0.3,0.2,0.2,0.3691256830601093,7.658868231105467,5.80041153015925,69.53942232630757,110.0,3.8,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.638554216867467,26.024096385542165,0.0,110.0,-0.1,3.6,1.0,2.4,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,3.6,1.0,2.4,0.0,0.0,0.0
2025-11-18,Bronny_James,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.5,22.22222222222222,-70.0,75.0,110.0,0.6999999999999997,0,3.0,9,1642355,1610612747,UTA,1610612762,LAL vs. UTA,3.6,1.0,0.0,-7.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1.1,3.2,1.2,2.2,0.8,0.2,0.25,0.2,0.2,0.3191256830601093,7.582971138633789,1.038985111274267,59.53942232630758,110.0,3.44,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.040404040404041,-21.81818181818182,0.0,110.0,1.0,3.2,1.2,2.2,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,3.2,1.2,2.2,0.0,0.0,0.0
2025-11-25,Bronny_James,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,-30.0,0.0,110.0,0.0,0,7.0,10,1642355,1610612747,LAC,1610612746,LAL vs. LAC,1.2,1.0,0.0,-1.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1.1,2.8,1.0,1.4,0.6,0.8,0.4,0.3,0.0,0.5166666666666667,11.026389942052592,-12.961014888725732,54.04761904761906,110.0,1.96,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.5,22.22222222222222,-70.0,75.0,110.0,0.6999999999999997,2.8,1.0,1.4,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,2.8,1.0,1.4,0.0,0.0,0.0
2025-12-01,Bronny_James,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.508771929824561,31.57894736842105,0.0,110.0,-0.3,0,6.0,11,1642355,1610612747,PHX,1610612756,LAL vs. PHX,5.7,0.0,0.0,5.0,-2.4492935982947064e-16,1.0,0.0,1.0,1.1,2.4,0.8,1.6,0.6,0.8,0.3334,0.3,0.0,0.45,12.05203096769362,-17.57639950411035,40.71428571428572,110.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,-30.0,0.0,110.0,0.0,2.4,0.8,1.6,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,2.4,0.8,1.6,0.0,0.0,0.0
2025-12-05,Bronny_James,5.0,0.0,1.0,1.0,2.0,0.667,0.5,0.0,0.8333333333333334,15.151515151515152,10.90909090909091,100.0,110.0,3.4000000000000004,0,4.0,12,1642355,1610612747,BOS,1610612738,LAL @ BOS,6.6,3.0,0.0,2.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,1.1,0.6,0.4,1.4,0.4,0.8,0.2,0.2,0.0,0.3,11.215323815196992,-12.843027612843722,15.000000000000004,110.0,0.2599999999999999,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.508771929824561,31.57894736842105,0.0,110.0,-0.3,0.6,0.4,1.4,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,0.6,0.4,1.4,0.0,0.0,0.0
2025-12-10,Bronny_James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,110.0,0.0,0,5.0,13,1642355,1610612747,SAS,1610612759,LAL vs. SAS,1.2,0.0,0.0,1.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.2225209339563143,1.1,1.6,0.2,1.2,0.4,1.2,0.3334,0.3,0.0,0.4666666666666667,12.317916002126529,-15.866028708133973,35.00000000000001,110.0,0.96,5.0,0.0,1.0,1.0,2.0,0.667,0.5,0.0,0.8333333333333334,15.151515151515152,10.90909090909091,100.0,110.0,3.4000000000000004,1.6,0.2,1.2,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.6,0.2,1.2,0.0,0.0,0.0
2025-12-23,Bronny_James,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.122448979591836,18.367346938775512,0.0,110.0,-1.4,0,13.0,14,1642355,1610612747,PHX,1610612756,LAL @ PHX,9.8,2.0,0.0,5.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1.1,1.6,0.0,1.0,0.2,1.2,0.3334,0.3,0.0,0.4666666666666667,11.50983519404572,-5.5023923444976095,55.0,110.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,110.0,0.0,1.6,0.0,1.0,,,,,,,,,,,,,2026-05-27T16:51:30.023737+00:00,baseline_fallback,baseline_fallback,baseline_fallback,1.6,0.0,1.0,0.0,0.0,0.0
