Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Chris_Bassitt,pitcher,BAL,BOS,2026,831638,0,110,111,0,0.0,2.0,9.0,2.0,10.0,40.0,2.0,2.0,0.0,6.2,6.2,60.0,0.0,0.315,0.225,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,9.0,2.5,1.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.332,0.3851000000000002,-0.5170499999999993,0.0,2.0,9.0,0.0,2.0,9.0
2026-03-06,Chris_Bassitt,pitcher,BAL,STL,2026,831519,1,110,138,1,2.0,0.0,0.0,3.0,11.0,43.0,1.0,1.0,0.0,2.8666666666666667,2.8666666666666667,60.0,13.953488372093023,0.24105750487329436,0.22832722832722832,1.08,0.0,84.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,1.5,9.0,2.5,1.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-2.3053821733821733,0.05235877192982463,-4.342923684210526,0.0,2.0,9.0,0.0,2.0,9.0
2026-03-11,Chris_Bassitt,pitcher,BAL,PIT,2026,831507,2,110,134,1,3.0,2.0,4.5,4.0,19.0,77.0,3.0,3.0,1.0,7.2,7.2,56.99999999999999,11.688311688311687,0.3288671023965142,0.25115860611576646,1.08,6.0,81.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.1227311510738684,0.4075019607843139,-2.458120588235294,1.0,1.0,4.5,2.0,0.0,0.0
2026-03-23,Chris_Bassitt,pitcher,BAL,WSH,2026,831546,3,110,120,0,1.0,0.0,0.0,2.0,6.0,35.0,0.0,0.0,0.0,2.2,2.2,60.0,8.571428571428571,0.2364657738095238,0.2354371416871417,1.08,-15.0,56.0,0,12.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,4.5,2.5,1.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.6285028665028665,-0.4483040178571427,0.23263191964285745,1.6666666666666667,1.3333333333333333,4.5,3.0,2.0,4.5
2026-03-30,Chris_Bassitt,pitcher,BAL,TEX,2026,824863,4,110,140,1,3.0,4.0,8.307692307692308,4.333333333333333,25.0,100.0,4.0,6.0,0.0,4.584615384615385,4.584615384615385,61.0,9.0,0.30778504273504276,0.29049654049654056,1.08,8.0,70.0,0,7.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,3.4,2.5,0.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.5880276760276755,0.31263269230769253,-1.712224408284023,1.5,1.0,3.375,1.0,0.0,0.0
2026-04-05,Chris_Bassitt,pitcher,BAL,PIT,2026,823405,5,110,134,0,0.0,6.0,27.0,2.0,15.0,62.0,2.0,6.0,1.0,12.7,12.7,52.0,0.0,0.32635185185185184,0.2362505978000956,1.08,16.0,45.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,1.5,4.4,2.5,1.5,4.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.5259952175992351,0.4681833333333332,4.4568249999999985,1.8,1.6,4.361538461538461,3.0,4.0,8.307692307692308
2026-04-11,Chris_Bassitt,pitcher,BAL,SF,2026,824857,6,110,137,1,2.0,1.0,1.9285714285714284,4.666666666666667,21.0,89.0,1.0,7.0,0.0,2.9857142857142858,2.9857142857142858,64.0,6.741573033707865,0.37809259259259265,0.1816780912907168,1.08,-3.0,68.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,2.5,8.0,2.5,2.5,8.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-1.3825752696742657,0.5970166666666668,-2.027182142857143,1.8,2.4,7.961538461538462,0.0,6.0,27.0
2026-04-17,Chris_Bassitt,pitcher,BAL,CLE,2026,824454,7,110,114,0,2.0,0.0,0.0,5.0,22.0,100.0,4.0,4.0,0.0,4.800000000000001,4.800000000000001,56.00000000000001,6.0,0.3226638608305275,0.2248266638510541,1.08,-3.0,64.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,2.5,8.3,2.5,2.5,8.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.7573866891915673,-0.30841262626262633,-4.355142727272728,1.8,2.6,8.347252747252748,2.0,1.0,1.9285714285714284
2026-04-22,Chris_Bassitt,pitcher,BAL,KC,2026,824123,8,110,118,0,3.0,5.0,8.4375,5.333333333333333,25.0,88.0,2.0,8.0,2.0,8.075,8.075,63.0,10.227272727272728,0.33582407407407405,0.22831126752695377,1.06,0.0,66.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,2.5,7.4,2.5,2.5,7.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.86550985978437,-0.7115916666666666,-4.3820609375,1.6,2.2,7.447252747252747,2.0,0.0,0.0
2026-04-30,Chris_Bassitt,pitcher,BAL,HOU,2026,824848,9,110,117,1,7.0,1.0,1.3499999999999999,6.666666666666667,27.0,94.0,1.0,7.0,0.0,1.5500000000000003,1.5500000000000003,66.0,22.340425531914892,0.32414814814814813,0.22492997198879552,1.08,0.0,63.0,0,8.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,3.5,9.1,2.5,3.5,9.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.47256022408963627,-0.22973333333333334,-4.68514,2.0,3.2,9.134752747252747,3.0,5.0,8.4375
