Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-03,Yohendrick_Pinango,hitter,TOR,CAN,2026,831437,0,141,784,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,-7.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.328898245614035,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Yohendrick_Pinango,hitter,TOR,ATL,2026,831583,1,141,144,0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.045454545454545456,0.345,0.345,0.0,0.0,41.4,4.1,8.2,2.5,1.08,-6.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.37144848484848475,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Yohendrick_Pinango,hitter,TOR,PIT,2026,831525,2,141,134,1,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.04878048780487805,1.05,1.05,1.5,30.0,65.0,9.0,18.0,1.5,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.024399999999999977,-0.3456341463414634,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Yohendrick_Pinango,hitter,TOR,PHI,2026,831576,3,141,143,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.03125,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.215714285714286,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.07829940476190489,-0.14106666666666667,0.27786904761904785,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0
2026-03-08,Yohendrick_Pinango,hitter,TOR,BAL,2026,831628,4,141,110,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,0.0,13.5,4.73125,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.34196403508771933,-0.2994,-0.12359539473684206,0.25,0.25,0.5,0.0,0.0,0.0
2026-03-10,Yohendrick_Pinango,hitter,TOR,ATL,2026,831513,5,141,144,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.02631578947368421,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.5671321160042964,1.08,-6.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.23956383816684562,-0.33440000000000003,-0.31169602577873257,0.2,0.2,0.4,0.0,0.0,0.0
2026-03-11,Yohendrick_Pinango,hitter,TOR,NYY,2026,831620,6,141,147,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.03225806451612903,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.7803571428571425,1.08,-8.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2622996927803378,-0.33440000000000003,-0.34404665898617515,0.2,0.2,0.4,0.0,0.0,0.0
2026-03-13,Yohendrick_Pinango,hitter,TOR,MIN,2026,831623,7,141,142,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.5,5.758262414277452,1.08,11.0,73.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.04293617009556855,-0.33440000000000003,-0.23308687928612737,0.2,0.2,0.4,0.0,0.0,0.0
2026-03-14,Yohendrick_Pinango,hitter,TOR,DET,2026,831614,8,141,116,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.9114236603732402,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.04247638691840372,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Yohendrick_Pinango,hitter,TOR,BAL,2026,831600,9,141,110,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.02564102564102564,1.27,1.27,1.0,30.0,65.0,0.0,27.0,6.798214285714286,1.08,14.0,61.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.14939999999999998,-0.04193543956043955,0.0,0.0,0.0,0.0,0.0,0.0
