Market_Date,Player,Market_Player_Raw,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Market_K,Market_ER,Market_ERA,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_K_books,Market_ER_books,Market_ERA_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_Player_Team,Market_Player_Opponent
2026-04-27,Andres_Gimenez,Andres Gimenez,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,-151.0,,,,,,,,114.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Angel_Martinez,Angel Martinez,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,-216.0,,,,,,,,160.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Austin_Hedges,Austin Hedges,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,102.0,,,,,,,,-136.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Ben_Williamson,Ben Williamson,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,-214.0,,,,,,,,159.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Brayan_Rocchio,Brayan Rocchio,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,-151.0,,,,,,,,113.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Caleb_Durbin,Caleb Durbin,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,-146.0,,,,,,,,110.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Carlos_Narvaez,Carlos Narvaez,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,102.0,,,,,,,,-135.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Ceddanne_Rafaela,Ceddanne Rafaela,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,-164.0,,,,,,,,123.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Chandler_Simpson,Chandler Simpson,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,-200.0,,,,,,,,149.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Chase_DeLauter,Chase DeLauter,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,1.5,,,,,,,1.0,1.0,,,,,,,-204.0,140.0,,,,,,,152.0,-187.0,,,,,,,0.0,0.0,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Daniel_Schneemann,Daniel Schneemann,1a4159875887b1b0c4fe65b367df29a7,2026-04-27T22:11:00Z,Cleveland Guardians,Tampa Bay Rays,0.5,,,,,,,,1.0,,,,,,,,-166.0,,,,,,,,125.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Daulton_Varsho,Daulton Varsho,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,-147.0,,,,,,,,110.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Davis_Schneider,Davis Schneider,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,0.5,,,,,,,,1.0,,,,,,,,-115.0,,,,,,,,-115.0,,,,,,,,0.0,,,,,,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Dustin_May,Dustin May,4231e596c0ccb42a62c16bf46b6854a6,2026-04-27T22:41:00Z,Pittsburgh Pirates,St. Louis Cardinals,,,,,,4.5,,,,,,,,1.0,,,,,,,,-118.0,,,,,,,,-112.0,,,,,,,,0.0,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
2026-04-27,Dylan_Cease,Dylan Cease,eb2a21d7a425f6a975d1eae9da93e4c7,2026-04-27T23:08:00Z,Toronto Blue Jays,Boston Red Sox,,,,,,7.5,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,-132.5,,,,,,,,0.0,,,2026-04-27T01:59:15.159895+00:00,,,,,,,,,,
