Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-02,Alex_Call,hitter,LAD,COL,2026,831808,0,119,115,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,10.0,4.1,8.2,10.5,1.0611111111111111,8.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.014256410256410168,-0.48044444444444445,-0.17753846153846153,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Alex_Call,hitter,LAD,MEX,2026,831799,1,119,867,1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.07142857142857142,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.050000000000001,1.0611111111111111,0.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3036666666666666,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Alex_Call,hitter,LAD,CIN,2026,831810,2,119,113,0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,0.08163265306122448,0.885,0.885,0.5,30.0,65.0,4.1,8.2,9.321428571428571,1.08,12.0,76.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08740952380952371,-0.2744,0.034571428571428475,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Alex_Call,hitter,LAD,COL,2026,831863,3,119,115,1,1.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0,0.05,0.445,0.445,0.0,0.0,53.4,0.0,0.0,8.229494190020505,1.0611111111111111,-4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.9613464342674869,-0.48044444444444445,0.19744137616769197,0.6666666666666666,0.0,0.3333333333333333,2.0,0.0,1.0
2026-03-08,Alex_Call,hitter,LAD,ATH,2026,831812,4,119,133,0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.07894736842105263,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,4.1,8.2,6.986895161290323,1.0611111111111111,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0018048953027730574,-0.15544444444444444,0.4481868633276742,0.75,0.0,0.5,1.0,0.0,1.0
2026-03-10,Alex_Call,hitter,LAD,AZ,2026,831956,5,119,109,1,0.0,0.0,0.0,3.0,1.0,2.0,0.0,7.0,0.08333333333333333,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,4.5,4.5,6.218496728835076,1.0611111111111111,-7.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.4129065358200701,-0.24044444444444446,0.41392483644175404,1.0,0.2,1.0,2.0,1.0,3.0
2026-03-12,Alex_Call,hitter,LAD,CIN,2026,831894,6,119,113,1,2.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.07317073170731707,0.8333333333333334,0.8333333333333334,0.0,0.0,65.0,13.5,15.0,6.570197947214076,1.0611111111111111,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3136311065016808,-0.34044444444444444,0.05155867784850865,1.0,0.2,1.0,0.0,0.0,0.0
2026-03-13,Alex_Call,hitter,LAD,SEA,2026,831801,7,119,136,0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.06976744186046512,0.24,0.24,0.0,0.0,28.799999999999997,13.5,15.0,7.1641656662665065,1.0722222222222222,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2515419004811228,-0.3368888888888889,-0.1007452050587676,1.4,0.2,1.0,2.0,0.0,0.0
2026-03-15,Alex_Call,hitter,LAD,CHC,2026,831814,8,119,112,0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,0.09090909090909091,0.395,0.395,0.0,0.0,47.400000000000006,0.0,6.0,4.299313186813187,1.0277777777777777,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.03227555777555802,-0.35111111111111115,-0.30862524975024974,1.0,0.2,0.8,0.0,0.0,0.0
2026-03-22,Alex_Call,hitter,LAD,LAA,2026,831804,9,119,108,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.021739130434782608,0.0,0.0,0.0,0.0,10.0,2.571428571428571,8.571428571428571,3.3102433281004715,1.08,8.0,74.0,0,7.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.12380517370827915,-0.33440000000000003,-0.19392261620367202,1.0,0.2,0.6,1.0,0.0,0.0
