Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Emilio_Pagán,641941,pitcher,CIN,ATH,2026,831899,0,113,133,0,0.0,1.0,1.0,9.0,1.0,7.0,22.0,0.0,2.0,0.0,1.2000000000000002,1.2000000000000002,64.0,13.636363636363637,0.315,0.225,1.0611111111111111,4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4644444444444444,0.49150000000000005,-0.07649999999999935,1.0,1.0,9.0,1.0,1.0,9.0
2026-03-05,Emilio_Pagán,641941,pitcher,CIN,LAD,2026,831810,1,113,119,1,0.0,0.0,4.0,36.0,1.0,7.0,17.0,0.0,4.0,3.0,42.2,42.2,76.0,0.0,0.37520227920227917,0.17225853304284677,1.08,12.0,76.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.893931735657226,0.7760102564102564,2.4840923076923076,1.0,1.0,9.0,1.0,1.0,9.0
2026-03-08,Emilio_Pagán,641941,pitcher,CIN,AZ,2026,831960,2,113,109,1,0.0,1.0,1.0,9.0,1.0,5.0,19.0,1.0,1.0,0.0,4.2,4.2,47.0,15.789473684210526,0.31542901234567905,0.20934865900383146,1.08,-10.0,85.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,2.5,22.5,2.5,2.5,22.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.0972107279693484,0.0670305555555557,0.603275,0.5,2.5,22.5,0.0,4.0,36.0
2026-03-11,Emilio_Pagán,641941,pitcher,CIN,MIL,2026,831793,3,113,158,1,0.0,2.0,0.0,0.0,1.0,4.0,15.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,87.0,40.0,0.30646604938271604,0.22290122219995992,1.08,4.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.7287902224003209,0.1866972222222223,-2.819725,0.6666666666666666,2.0,18.0,1.0,1.0,9.0
2026-03-14,Emilio_Pagán,641941,pitcher,CIN,TEX,2026,831728,4,113,140,1,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,3.2,3.2,71.0,0.0,0.35689896704602586,0.21262626262626264,1.08,6.0,88.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.430989898989899,-0.10635464829288344,-0.9571918346359514,1.0,1.5,13.5,2.0,0.0,0.0
2026-03-16,Emilio_Pagán,641941,pitcher,CIN,AZ,2026,831903,5,113,109,0,0.0,2.0,0.0,0.0,1.0,5.0,24.0,1.0,0.0,0.0,2.2,2.2,63.0,25.0,0.35950231481481487,0.19444444444444442,1.0611111111111111,-4.0,89.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,10.8,2.5,1.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.9928888888888894,-0.32423958333333314,-0.21815624999999983,0.8,1.2,10.8,0.0,0.0,0.0
2026-03-23,Emilio_Pagán,641941,pitcher,CIN,MIL,2026,832078,6,113,158,0,0.0,0.0,1.0,9.0,1.0,4.0,13.0,0.0,1.0,1.0,16.2,16.2,69.0,0.0,0.3896126543209877,0.20760389036251106,1.0733333333333333,0.0,64.0,0,7.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4685022104332448,0.6760569444444444,1.5845124999999989,1.0,1.0,9.0,2.0,0.0,0.0
2026-03-28,Emilio_Pagán,641941,pitcher,CIN,BOS,2026,824540,7,113,111,1,0.0,2.0,1.0,6.75,1.3333333333333333,5.0,22.0,0.0,1.0,1.0,9.95,9.95,73.0,27.27272727272727,0.35193690476190476,0.16547619047619047,1.08,0.0,49.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.0881904761904764,0.23931607142857148,1.3903834821428576,1.0,0.4,3.6,0.0,1.0,9.0
2026-03-29,Emilio_Pagán,641941,pitcher,CIN,BOS,2026,824538,8,113,111,1,0.0,0.0,0.0,0.0,1.0,5.0,12.0,1.0,1.0,0.0,6.2,6.2,50.0,0.0,0.31682453102453095,0.22185916919959472,1.08,0.0,60.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,3.2,2.5,0.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.2131266464032422,0.08131038961038939,2.0317935064935044,1.2,0.4,3.15,2.0,1.0,6.75
2026-04-01,Emilio_Pagán,641941,pitcher,CIN,PIT,2026,824536,9,113,134,1,0.0,2.0,4.0,36.0,1.0,7.0,33.0,0.0,3.0,1.0,12.2,12.2,57.99999999999999,18.181818181818183,0.2618106060606061,0.25671385671385677,1.08,0.0,73.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,3.2,2.5,0.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.502289146289146,-0.3262522727272726,-1.6362704545454534,0.8,0.4,3.15,0.0,0.0,0.0
