Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-05,Dominic_Smith,hitter,ATL,TOR,2026,831583,0,144,141,1,1.0,1.0,2.0,4.0,3.0,1.0,0.0,8.0,0.09302325581395349,0.6975,0.6975,1.0,30.0,65.0,4.1,8.2,8.357142857142858,1.08,-6.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,2.0,1.0,0.5,2.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.2527632336655594,0.6505999999999998,0.12350249169435212,1.0,1.0,2.0,1.0,1.0,2.0
2026-03-06,Dominic_Smith,hitter,ATL,MIN,2026,831521,1,144,142,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,10.0,0.0,18.0,1.8,1.08,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,2.0,1.0,0.5,2.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5044333333333333,0.3256,-0.4249999999999998,1.0,1.0,2.0,1.0,1.0,2.0
2026-03-08,Dominic_Smith,hitter,ATL,TB,2026,831520,2,144,139,0,3.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,0.10256410256410256,0.7625,0.7625,0.25,21.25,65.0,9.0,22.5,3.475,1.0611111111111111,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.014819444444444496,-0.08988461538461523,0.5,0.5,1.0,0.0,0.0,0.0
2026-03-11,Dominic_Smith,hitter,ATL,TB,2026,831574,3,144,139,1,1.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.616165413533835,1.08,10.0,86.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.10021328320802025,-0.24106666666666665,-0.03519172932330816,1.3333333333333333,0.3333333333333333,1.0,3.0,0.0,1.0
2026-03-12,Dominic_Smith,hitter,ATL,PIT,2026,831466,4,144,134,0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.09375,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,3.0,15.0,5.36103896103896,1.08,11.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08267927489177496,-0.2994,-0.335698051948052,1.25,0.25,0.75,1.0,0.0,0.0
2026-03-14,Dominic_Smith,hitter,ATL,BOS,2026,831566,5,144,111,1,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.075,0.0,0.0,0.0,0.0,10.0,3.0,3.0,8.448848365257033,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.33127060127694796,-0.33440000000000003,0.12564241826285172,1.0,0.2,0.6,0.0,0.0,0.0
2026-03-15,Dominic_Smith,hitter,ATL,PHI,2026,831458,6,144,143,0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.11764705882352941,0.0,0.0,0.0,0.0,10.0,0.0,15.0,5.469029190623618,1.08,7.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.45656432257113366,-0.4744,-0.24519559929234852,0.8,0.0,0.2,0.0,0.0,0.0
2026-03-18,Dominic_Smith,hitter,ATL,PHI,2026,831453,7,144,143,1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,3.0,9.0,3.3389097744360905,1.08,-10.0,63.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3773769423558897,-0.4744,-0.38925451127819544,0.8,0.0,0.2,0.0,0.0,0.0
2026-03-20,Dominic_Smith,hitter,ATL,PIT,2026,831451,8,144,134,1,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.07142857142857142,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,6.0,8.25,4.214599686028258,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.17318267922553632,-0.4744,-0.42927001569858714,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-22,Dominic_Smith,hitter,ATL,MIN,2026,831492,9,144,142,0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.08333333333333333,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,27.0,6.0,5.207142857142857,1.08,0.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.12548095238095236,-0.4744,-0.2566428571428572,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,Dominic_Smith,hitter,ATL,TB,2026,831545,10,144,139,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.05,0.345,0.345,0.0,0.0,41.4,4.1,8.2,3.094191522762951,1.08,7.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.187667660910518,-0.4744,-0.17999042386185238,0.4,0.0,0.2,2.0,0.0,1.0
